"","lead","non","year"
"297","11133-01","11251-81",2018
"298","11133-01","156736-99",2018
"299","42240-79","42240-79",2018
"300","42240-79","42788-17",2018
"301","42240-79","51327-55",2018
"302","11295-73","11166-58",2017
"303","11295-73","11295-73",2017
"304","11295-73","222564-34",2017
"305","11295-73","53788-78",2017
"306","163578-07","163578-07",2018
"307","163578-07","53975-26",2018
"308","181279-45","178859-08",2018
"309","181279-45","181279-45",2018
"310","181279-45","52698-52",2018
"311","181279-45","60082-66",2018
"312","181279-45","81761-68",2018
"313","112783-60","112783-60",2017
"314","112783-60","166731-04",2017
"315","11333-26","11333-26",2018
"316","11333-26","54305-83",2018
"317","11330-83","11330-83",2018
"318","61345-54","11330-83",2018
"319","11330-83","61345-54",2018
"320","61345-54","61345-54",2018
"321","11229-85","110390-41",2018
"322","42284-62","110390-41",2018
"323","11229-85","11229-85",2018
"324","42284-62","11229-85",2018
"325","11229-85","228933-10",2018
"326","42284-62","228933-10",2018
"327","11229-85","42284-62",2018
"328","42284-62","42284-62",2018
"329","57379-15","11166-58",2018
"330","57379-15","56916-01",2018
"331","57379-15","57379-15",2018
"332","11229-85","11229-85",2018
"333","11229-85","11251-81",2018
"334","11229-85","57781-45",2018
"335","11188-63","11188-63",2017
"336","11188-63","186571-63",2017
"337","11157-76","11157-76",2018
"338","11157-76","113646-97",2018
"339","11157-76","43014-79",2018
"340","11157-76","45704-44",2018
"341","11308-51","11308-51",2018
"342","11308-51","224381-26",2018
"343","11216-26","11216-26",2017
"344","11216-26","224380-27",2017
"345","11216-26","51639-76",2017
"346","161320-87","161320-87",2017
"347","224409-61","161320-87",2017
"348","161320-87","224409-61",2017
"349","224409-61","224409-61",2017
"350","42155-83","111901-42",2018
"351","42155-83","42155-83",2018
"352","42155-83","60480-82",2018
"353","149516-20","149516-20",2018
"354","149516-20","155967-94",2018
"355","149516-20","163360-81",2018
"356","149516-20","166798-09",2018
"357","11211-40","11211-40",2018
"358","11216-98","11211-40",2018
"359","11211-40","11216-98",2018
"360","11216-98","11216-98",2018
"361","11211-40","173473-84",2018
"362","11216-98","173473-84",2018
"363","11211-40","51625-90",2018
"364","11216-98","51625-90",2018
"365","11211-40","52507-90",2018
"366","11216-98","52507-90",2018
"367","11211-40","97899-13",2018
"368","11216-98","97899-13",2018
"369","55161-46","113110-12",2018
"370","55161-46","55161-46",2018
"371","60026-68","187980-13",2018
"372","60026-68","60026-68",2018
"373","11251-81","11251-81",2018
"374","11251-81","11263-15",2018
"375","11251-81","11307-34",2018
"376","11135-71","11135-71",2018
"377","11135-71","64545-67",2018
"378","11308-51","11191-96",2018
"379","11308-51","11308-51",2018
"380","11308-51","52272-28",2018
"381","10618-12","10618-12",2017
"382","10618-12","51762-25",2017
"383","10618-12","61720-66",2017
"384","55282-06","53788-78",2018
"385","55282-06","55282-06",2018
"386","154669-24","11203-21",2018
"387","154669-24","154669-24",2018
"388","154669-24","55869-04",2018
"389","154669-24","58922-38",2018
"390","11110-06","11110-06",2018
"391","11110-06","228285-01",2018
"392","11110-06","51477-67",2018
"393","11110-06","83255-32",2018
"394","168471-82","168471-82",2018
"395","168471-82","185891-41",2018
"396","168471-82","222271-21",2018
"397","168471-82","66064-60",2018
"398","170053-39","102285-10",2018
"399","170053-39","170053-39",2018
"400","42365-62","11251-81",2018
"401","42365-62","11303-11",2018
"402","42365-62","42365-62",2018
"403","42365-62","55329-94",2018
"404","53333-83","167007-88",2018
"405","53333-83","51639-94",2018
"406","53333-83","53333-83",2018
"407","53333-83","56697-76",2018
"408","11275-75","11275-75",2018
"409","53715-43","11275-75",2018
"410","11275-75","182193-58",2018
"411","53715-43","182193-58",2018
"412","11275-75","52833-34",2018
"413","53715-43","52833-34",2018
"414","11275-75","53715-43",2018
"415","53715-43","53715-43",2018
"416","11191-96","11191-96",2017
"417","61279-39","11191-96",2017
"418","11191-96","61279-39",2017
"419","61279-39","61279-39",2017
"420","169927-12","169927-12",2017
"421","169927-12","59939-74",2017
"422","10215-64","10215-55",2002
"423","10215-64","10215-64",2002
"424","10215-64","10215-73",2002
"425","11227-60","11227-60",2018
"426","11227-60","154862-38",2018
"427","11227-60","53715-43",2018
"428","11227-60","53906-41",2018
"429","11227-60","60780-79",2018
"430","11191-96","11191-96",2018
"431","11191-96","53920-36",2018
"432","11251-81","11184-49",2018
"433","11251-81","11251-81",2018
"434","11251-81","167212-00",2018
"435","11251-81","51089-77",2018
"436","11251-81","53992-27",2018
"437","11326-33","11326-33",2018
"438","11326-33","151474-96",2018
"439","11326-33","51625-09",2018
"440","11326-33","55329-94",2018
"441","11013-76","11013-76",2017
"442","11013-76","150175-81",2017
"443","53737-66","180398-62",2013
"444","53737-66","53737-66",2013
"445","11215-54","11215-54",2018
"446","11215-54","168558-13",2018
"447","51135-58","168793-30",2018
"448","51135-58","51135-58",2018
"449","181279-45","11336-32",2018
"450","61372-27","11336-32",2018
"451","181279-45","181279-45",2018
"452","61372-27","181279-45",2018
"453","181279-45","181596-52",2018
"454","61372-27","181596-52",2018
"455","181279-45","61372-27",2018
"456","61372-27","61372-27",2018
"457","55767-43","11315-62",2018
"458","55767-43","55767-43",2018
"459","41716-90","11191-96",2017
"460","41716-90","41716-90",2017
"461","41716-90","52916-50",2017
"462","157839-49","152468-56",2017
"463","157839-49","157839-49",2017
"464","157839-49","166731-04",2017
"465","157839-49","51001-57",2017
"466","163040-23","11155-87",2018
"467","163040-23","163040-23",2018
"468","163040-23","170053-39",2018
"469","55121-14","55121-14",2017
"470","55614-16","55121-14",2017
"471","55121-14","55614-16",2017
"472","55614-16","55614-16",2017
"473","11132-20","11132-20",2017
"474","11263-51","11132-20",2017
"475","11132-20","11263-51",2017
"476","11263-51","11263-51",2017
"477","118868-32","118868-32",2018
"478","118868-32","97882-39",2018
"479","155248-48","10139-41",2018
"480","155248-48","155248-48",2018
"481","155248-48","55961-83",2018
"482","58281-49","10560-70",2018
"483","58281-49","58281-49",2018
"484","58281-49","98741-89",2018
"485","11124-64","11124-64",2018
"486","11124-64","11307-34",2018
"487","11124-64","126148-15",2018
"488","11124-64","42460-57",2018
"489","11228-50","11191-96",2018
"490","11228-50","11216-98",2018
"491","11228-50","11228-50",2018
"492","14188-06","11330-29",2018
"493","14188-06","140187-79",2018
"494","14188-06","14188-06",2018
"495","161595-82","11227-60",2017
"496","161595-82","11242-54",2017
"497","161595-82","161595-82",2017
"498","161595-82","52678-36",2017
"499","161595-82","56096-29",2017
"500","161595-82","61154-29",2017
"501","11108-17","11108-17",2018
"502","11108-17","53290-90",2018
"503","11142-19","11142-19",2018
"504","52775-83","11142-19",2018
"505","11142-19","52775-83",2018
"506","52775-83","52775-83",2018
"507","10052-20","10052-20",2018
"508","149720-23","10052-20",2018
"509","50980-60","10052-20",2018
"510","52815-70","10052-20",2018
"511","10052-20","149720-23",2018
"512","149720-23","149720-23",2018
"513","50980-60","149720-23",2018
"514","52815-70","149720-23",2018
"515","10052-20","50980-60",2018
"516","149720-23","50980-60",2018
"517","50980-60","50980-60",2018
"518","52815-70","50980-60",2018
"519","10052-20","52815-70",2018
"520","149720-23","52815-70",2018
"521","50980-60","52815-70",2018
"522","52815-70","52815-70",2018
"523","179263-00","126926-83",2018
"524","179467-84","126926-83",2018
"525","56343-43","126926-83",2018
"526","179263-00","179263-00",2018
"527","179467-84","179263-00",2018
"528","56343-43","179263-00",2018
"529","179263-00","179467-84",2018
"530","179467-84","179467-84",2018
"531","56343-43","179467-84",2018
"532","179263-00","51022-00",2018
"533","179467-84","51022-00",2018
"534","56343-43","51022-00",2018
"535","179263-00","53906-41",2018
"536","179467-84","53906-41",2018
"537","56343-43","53906-41",2018
"538","179263-00","56343-43",2018
"539","179467-84","56343-43",2018
"540","56343-43","56343-43",2018
"541","54669-52","53327-17",2018
"542","54669-52","54669-52",2018
"543","10364-77","100624-51",2018
"544","10364-77","10364-77",2018
"545","10364-77","114018-76",2018
"546","10364-77","148770-82",2018
"547","10364-77","225211-33",2018
"548","222564-34","222564-34",2018
"549","222564-34","46194-67",2018
"550","222564-34","52773-04",2018
"551","222564-34","53788-87",2018
"552","222564-34","98741-89",2018
"553","51023-26","11335-42",2018
