"","lead","non","year"
"34545","10215-73","60790-69",2013
"34546","11211-40","10133-20",2013
"34547","11211-40","10382-41",2013
"34548","11211-40","11191-96",2013
"34549","11211-40","11208-79",2013
"34550","11211-40","11211-40",2013
"34551","11211-40","51001-03",2013
"34552","11211-40","52370-29",2013
"34553","52577-92","52577-92",2013
"34554","52577-92","52815-70",2013
"34555","52577-92","57697-12",2013
"34556","52577-92","58658-59",2013
"34557","11140-75","11140-75",2010
"34558","55763-65","11140-75",2010
"34559","11140-75","55763-65",2010
"34560","55763-65","55763-65",2010
"34561","11140-75","55787-59",2010
"34562","55763-65","55787-59",2010
"34563","11140-75","58910-86",2010
"34564","55763-65","58910-86",2010
"34565","11140-75","58989-34",2010
"34566","55763-65","58989-34",2010
"34567","11288-71","11288-71",2013
"34568","11288-71","42944-05",2013
"34569","11333-44","11333-44",2013
"34570","11333-44","42348-43",2013
"34571","11333-44","55763-56",2013
"34572","11237-50","11237-50",2013
"34573","11258-38","11237-50",2013
"34574","11237-50","11258-38",2013
"34575","11258-38","11258-38",2013
"34576","10458-73","10458-73",2013
"34577","10458-73","11259-28",2013
"34578","10458-73","51639-67",2013
"34579","10458-73","54345-79",2013
"34580","10458-73","60480-82",2013
"34581","11338-84","11338-84",2012
"34582","11338-84","63462-97",2012
"34583","11259-73","11259-73",2014
"34584","11259-73","11852-02",2014
"34585","11140-75","11140-75",2007
"34586","11140-75","53450-56",2007
"34587","11140-75","56171-62",2007
"34588","11300-05","11159-74",2007
"34589","11300-05","11300-05",2007
"34590","11208-43","10133-20",2008
"34591","11208-43","11208-43",2008
"34592","11208-43","51529-33",2008
"34593","56171-62","227395-27",2010
"34594","56171-62","56171-62",2010
"34595","59034-61","57103-39",2013
"34596","59034-61","59034-61",2013
"34597","11268-55","11268-55",2013
"34598","11268-55","51410-53",2013
"34599","11295-73","11191-96",2013
"34600","11295-73","11227-60",2013
"34601","11295-73","11295-73",2013
"34602","11295-73","41716-90",2013
"34603","11303-02","11141-38",2013
"34604","11303-02","11303-02",2013
"34605","11303-02","57081-07",2013
"34606","11270-53","11270-53",2013
"34607","51016-51","11270-53",2013
"34608","11270-53","51016-51",2013
"34609","51016-51","51016-51",2013
"34610","11270-53","51327-55",2013
"34611","51016-51","51327-55",2013
"34612","11270-53","54344-62",2013
"34613","51016-51","54344-62",2013
"34614","53476-93","53476-93",2013
"34615","55889-20","53476-93",2013
"34616","56554-03","53476-93",2013
"34617","53476-93","55889-20",2013
"34618","55889-20","55889-20",2013
"34619","56554-03","55889-20",2013
"34620","53476-93","56554-03",2013
"34621","55889-20","56554-03",2013
"34622","56554-03","56554-03",2013
"34623","11303-11","11303-11",2010
"34624","11303-11","56336-59",2010
"34625","10521-46","10521-46",2013
"34626","10521-46","111257-20",2013
"34627","10521-46","54094-15",2013
"34628","10521-46","57697-12",2013
"34629","11215-63","11215-63",2013
"34630","11215-63","42202-18",2013
"34631","11320-39","11320-39",2014
"34632","11320-39","51035-59",2014
"34633","11320-39","54613-90",2014
"34634","11320-39","56833-03",2014
"34635","11320-39","61926-49",2014
"34636","59079-61","11268-55",2013
"34637","59079-61","51410-53",2013
"34638","59079-61","59079-61",2013
"34639","11170-63","10634-77",2009
"34640","11170-63","11170-63",2009
"34641","11170-63","56628-91",2009
"34642","55466-02","11275-75",2013
"34643","55466-02","48176-38",2013
"34644","55466-02","51755-50",2013
"34645","55466-02","54843-67",2013
"34646","55466-02","55466-02",2013
"34647","55466-02","56697-76",2013
"34648","55466-02","59088-16",2013
"34649","42715-00","11165-23",2013
"34650","42715-00","11219-05",2013
"34651","42715-00","42715-00",2013
"34652","42715-00","54880-12",2013
"34653","10134-73","10134-73",2013
"34654","10134-73","51768-10",2013
"34655","10134-73","57781-45",2013
"34656","11282-32","11282-32",2013
"34657","11307-34","11282-32",2013
"34658","11282-32","11307-34",2013
"34659","11307-34","11307-34",2013
"34660","11282-32","113646-97",2013
"34661","11307-34","113646-97",2013
"34662","11282-32","52162-93",2013
"34663","11307-34","52162-93",2013
"34664","11282-32","54510-58",2013
"34665","11307-34","54510-58",2013
"34666","11282-32","97631-20",2013
"34667","11307-34","97631-20",2013
"34668","10052-20","10052-20",2013
"34669","10052-20","10139-41",2013
"34670","10052-20","11251-81",2013
"34671","10052-20","11258-83",2013
"34672","10052-20","57781-45",2013
"34673","11295-73","11124-64",2013
"34674","11295-73","11191-87",2013
"34675","11295-73","11215-54",2013
"34676","11295-73","11295-73",2013
"34677","11295-73","41693-68",2013
"34678","11295-73","59932-45",2013
"34679","10052-20","10052-20",2013
"34680","10052-20","10357-03",2013
"34681","10052-20","42240-79",2013
"34682","10052-20","52773-04",2013
"34683","10052-20","61655-59",2013
"34684","11133-01","11133-01",2013
"34685","11133-01","11281-06",2013
"34686","58658-59","10215-64",2014
"34687","58658-59","58658-59",2014
"34688","10123-03","10123-03",2013
"34689","10123-03","41716-90",2013
"34690","10123-03","53715-43",2013
"34691","10123-03","53858-62",2013
"34692","41716-90","11237-95",2013
"34693","41716-90","41716-90",2013
"34694","41716-90","51007-51",2013
"34695","41716-90","56916-01",2013
"34696","11142-19","11142-19",2013
"34697","11142-19","11328-22",2013
"34698","11247-94","11170-00",2013
"34699","64545-67","11170-00",2013
"34700","11247-94","11247-94",2013
"34701","64545-67","11247-94",2013
"34702","11247-94","51311-35",2013
"34703","64545-67","51311-35",2013
"34704","11247-94","64545-67",2013
"34705","64545-67","64545-67",2013
"34706","11248-93","11133-01",2013
"34707","11248-93","11237-95",2013
"34708","11248-93","11248-93",2013
"34709","11201-59","11201-59",2013
"34710","11201-59","42360-22",2013
"34711","11877-94","11877-94",2014
"34712","11877-94","53906-41",2014
"34713","11223-19","11223-19",2013
"34714","11223-19","11254-42",2013
"34715","11303-02","11251-81",2013
"34716","11303-02","11303-02",2013
"34717","11303-02","42715-00",2013
"34718","11303-02","56078-47",2013
"34719","11303-02","56833-03",2013
"34720","52827-67","111551-05",2014
"34721","52827-67","52827-67",2014
"34722","52827-67","52916-50",2014
"34723","52827-67","54520-03",2014
"34724","52827-67","54726-76",2014
"34725","52827-67","55481-05",2014
"34726","52827-67","55889-20",2014
"34727","52827-67","56663-20",2014
"34728","52827-67","61372-27",2014
"34729","11274-22","11274-22",2014
"34730","11274-22","98013-52",2014
"34731","10836-19","10836-19",2004
"34732","10836-19","11110-69",2004
"34733","40786-30","10215-73",2013
"34734","40786-30","40786-30",2013
"34735","11105-65","11105-65",2001
"34736","11175-13","11105-65",2001
"34737","11328-49","11105-65",2001
"34738","11105-65","11175-13",2001
"34739","11175-13","11175-13",2001
"34740","11328-49","11175-13",2001
"34741","11105-65","11328-49",2001
"34742","11175-13","11328-49",2001
"34743","11328-49","11328-49",2001
"34744","11132-20","11132-20",2013
"34745","50986-90","11132-20",2013
"34746","11132-20","50986-90",2013
"34747","50986-90","50986-90",2013
"34748","11132-20","55261-00",2013
"34749","50986-90","55261-00",2013
"34750","11158-57","10109-26",2013
"34751","11158-57","11158-57",2013
"34752","56445-58","11128-69",2008
"34753","56445-58","56445-58",2008
"34754","51468-94","51468-94",2013
"34755","51661-18","51468-94",2013
"34756","51468-94","51661-18",2013
"34757","51661-18","51661-18",2013
"34758","51468-94","52157-80",2013
"34759","51661-18","52157-80",2013
"34760","51468-94","53345-44",2013
"34761","51661-18","53345-44",2013
"34762","51577-30","11328-40",2013
"34763","54595-36","11328-40",2013
"34764","51577-30","51577-30",2013
"34765","54595-36","51577-30",2013
"34766","51577-30","54595-36",2013
"34767","54595-36","54595-36",2013
"34768","11220-22","11220-22",2013
"34769","11232-91","11220-22",2013
"34770","11237-95","11220-22",2013
"34771","11220-22","11232-91",2013
"34772","11232-91","11232-91",2013
"34773","11237-95","11232-91",2013
"34774","11220-22","11237-95",2013
"34775","11232-91","11237-95",2013
"34776","11237-95","11237-95",2013
"34777","11132-20","11114-11",2003
"34778","11132-20","11132-20",2003
"34779","11132-20","11322-28",2003
"34780","42520-24","42520-24",2013
"34781","42520-24","99815-50",2013
"34782","11216-26","11216-26",2014
"34783","11216-26","53715-43",2014
"34784","11216-26","55612-00",2014
"34785","52184-71","52184-71",2013
"34786","52184-71","53906-41",2013
"34787","52184-71","91434-07",2013
"34788","55763-56","11171-53",2013
"34789","55763-56","55763-56",2013
"34790","11120-59","10133-20",2000
"34791","11120-59","11120-59",2000
"34792","11120-59","11128-06",2000
"34793","11120-59","11159-74",2000
"34794","11120-59","51216-04",2000
"34795","11120-59","56671-12",2000
"34796","11145-52","11145-52",2013
"34797","11145-52","55362-70",2013
"34798","11145-52","60017-23",2013
"34799","11300-05","100016-92",2013
"34800","11300-05","11244-34",2013
"34801","11300-05","11300-05",2013
"34802","11300-05","51322-24",2013
"34803","11300-05","61094-53",2013
"34804","11208-43","11127-25",2013
"34805","11208-43","11208-43",2013
"34806","52827-67","52827-67",2013
"34807","52827-67","55436-86",2013
"34808","56322-28","11113-03",2013
"34809","56322-28","56322-28",2013
"34810","56322-28","56387-35",2013
"34811","51243-40","51243-40",2013
"34812","51243-40","52798-24",2013
"34813","11295-73","11166-58",2013
"34814","11295-73","11295-73",2013
"34815","11270-53","11270-53",2013
"34816","11270-53","53641-36",2013
"34817","11270-53","58095-82",2013
"34818","97312-42","42788-17",2013
"34819","97312-42","50980-60",2013
"34820","97312-42","52815-70",2013
"34821","97312-42","97312-42",2013
"34822","56841-49","11125-45",2008
"34823","56841-49","42955-30",2008
"34824","56841-49","53975-26",2008
"34825","56841-49","56841-49",2008
"34826","56841-49","56886-22",2008
"34827","56841-49","11125-45",2010
"34828","56841-49","42955-30",2010
"34829","56841-49","53975-26",2010
"34830","56841-49","56841-49",2010
"34831","11109-61","11109-61",2011
"34832","56201-32","11109-61",2011
"34833","11109-61","56201-32",2011
"34834","56201-32","56201-32",2011
"34835","54094-15","11143-54",2015
"34836","54094-15","54094-15",2015
"34837","11117-62","11109-61",2003
"34838","11117-62","11117-62",2003
"34839","11117-62","11320-48",2003
"34840","11117-62","42871-51",2003
"34841","10020-07","10020-07",2004
"34842","10020-07","11145-52",2004
"34843","10020-07","11303-11",2004
"34844","11132-20","10618-12",2013
"34845","11132-20","11132-20",2013
"34846","11132-20","11166-58",2013
"34847","11132-20","11228-50",2013
"34848","11132-20","40665-97",2013
"34849","11132-20","42999-58",2013
"34850","11132-20","45704-44",2013
"34851","11132-20","49922-20",2013
"34852","11132-20","50980-60",2013
"34853","11132-20","51022-00",2013
"34854","11132-20","51126-40",2013
"34855","11132-20","51322-24",2013
"34856","11132-20","51468-94",2013
"34857","11132-20","51595-21",2013
"34858","11132-20","51639-67",2013
"34859","11132-20","51639-94",2013
"34860","11132-20","51768-10",2013
"34861","11132-20","52577-92",2013
"34862","11132-20","52815-70",2013
"34863","11132-20","52984-99",2013
"34864","11132-20","54134-74",2013
"34865","11132-20","54207-19",2013
"34866","11132-20","54841-42",2013
"34867","11132-20","55254-79",2013
"34868","11132-20","55889-20",2013
"34869","11132-20","56181-16",2013
"34870","11132-20","56192-41",2013
"34871","11132-20","56401-21",2013
"34872","11132-20","56827-00",2013
"34873","11132-20","57309-22",2013
"34874","11132-20","58578-13",2013
"34875","11132-20","59264-65",2013
"34876","11132-20","61671-79",2013
"34877","11132-20","94166-65",2013
"34878","11468-44","11468-44",2013
"34879","11468-44","59900-77",2013
"34880","51160-87","51160-87",2014
"34881","51160-87","51675-76",2014
"34882","11215-63","11191-87",2013
"34883","11215-63","11215-63",2013
"34884","11215-63","11877-94",2013
"34885","11215-63","51508-99",2013
"34886","11215-63","51670-09",2013
"34887","11227-60","108299-26",2013
"34888","11227-60","11227-60",2013
"34889","11227-60","11303-02",2013
"34890","11227-60","11321-29",2013
"34891","11227-60","148770-82",2013
"34892","11227-60","149361-04",2013
"34893","10134-73","10134-73",2013
"34894","10134-73","11216-98",2013
"34895","10134-73","45704-44",2013
"34896","10134-73","51468-67",2013
"34897","126812-62","11215-63",2013
"34898","126812-62","11867-23",2013
"34899","126812-62","126812-62",2013
"34900","11326-33","11246-86",2013
"34901","40829-14","11246-86",2013
"34902","55869-04","11246-86",2013
"34903","11326-33","11326-33",2013
"34904","40829-14","11326-33",2013
"34905","55869-04","11326-33",2013
"34906","11326-33","40829-14",2013
"34907","40829-14","40829-14",2013
"34908","55869-04","40829-14",2013
"34909","11326-33","55869-04",2013
"34910","40829-14","55869-04",2013
"34911","55869-04","55869-04",2013
"34912","11326-33","56697-76",2013
"34913","40829-14","56697-76",2013
"34914","55869-04","56697-76",2013
"34915","11161-90","11161-90",2013
"34916","11161-90","51016-51",2013
"34917","11161-90","57281-86",2013
"34918","11161-90","63242-83",2013
"34919","42240-79","42240-79",2013
"34920","42240-79","52604-74",2013
"34921","59199-94","10271-98",2013
"34922","59199-94","10446-40",2013
"34923","59199-94","11208-79",2013
"34924","59199-94","11237-50",2013
"34925","59199-94","11274-22",2013
"34926","59199-94","11335-42",2013
"34927","59199-94","59199-94",2013
"34928","11216-26","11216-26",2013
"34929","11251-81","11216-26",2013
"34930","11216-26","11251-81",2013
"34931","11251-81","11251-81",2013
"34932","11216-26","42284-62",2013
"34933","11251-81","42284-62",2013
"34934","11216-26","54726-76",2013
"34935","11251-81","54726-76",2013
"34936","42943-96","42943-96",2014
"34937","42943-96","54556-57",2014
"34938","54613-90","42240-79",2013
"34939","54613-90","54613-90",2013
"34940","11227-60","11227-60",2013
"34941","11227-60","60032-35",2013
"34942","11227-60","11209-51",2013
"34943","11290-51","11209-51",2013
"34944","51089-77","11209-51",2013
"34945","11227-60","11227-60",2013
"34946","11290-51","11227-60",2013
"34947","51089-77","11227-60",2013
"34948","11227-60","11290-51",2013
"34949","11290-51","11290-51",2013
"34950","51089-77","11290-51",2013
"34951","11227-60","51089-77",2013
"34952","11290-51","51089-77",2013
"34953","51089-77","51089-77",2013
"34954","11321-29","11237-95",2013
"34955","42240-79","11237-95",2013
"34956","11321-29","11263-87",2013
"34957","42240-79","11263-87",2013
"34958","11321-29","11321-29",2013
"34959","42240-79","11321-29",2013
"34960","11321-29","156736-99",2013
"34961","42240-79","156736-99",2013
"34962","11321-29","42240-79",2013
"34963","42240-79","42240-79",2013
"34964","11321-29","53788-87",2013
"34965","42240-79","53788-87",2013
"34966","10052-20","10052-20",1999
"34967","10052-20","11313-28",1999
"34968","11104-03","11104-03",2013
"34969","11135-71","11104-03",2013
"34970","11104-03","11135-71",2013
"34971","11135-71","11135-71",2013
"34972","11104-03","11174-14",2013
"34973","11135-71","11174-14",2013
"34974","11201-59","11201-59",2013
"34975","11201-59","11209-51",2013
"34976","11201-59","41895-55",2013
"34977","11201-59","51595-21",2013
"34978","11201-59","54207-19",2013
"34979","11201-59","58362-22",2013
"34980","11201-59","63597-16",2013
"34981","11295-73","11295-73",2013
"34982","61671-79","11295-73",2013
"34983","11295-73","61671-79",2013
"34984","61671-79","61671-79",2013
"34985","54520-03","163405-09",2013
"34986","54520-03","53788-87",2013
"34987","54520-03","54520-03",2013
"34988","10139-41","10139-41",2013
"34989","10139-41","51249-07",2013
"34990","10139-41","55346-23",2013
"34991","11293-66","11251-81",2010
"34992","11293-66","11293-66",2010
"34993","10271-98","10271-98",2013
"34994","10271-98","11228-50",2013
"34995","10271-98","51625-90",2013
"34996","10271-98","52916-50",2013
"34997","10271-98","61268-86",2013
"34998","11124-64","11124-64",2013
"34999","11124-64","42173-20",2013
"35000","11124-64","53967-52",2013
"35001","11124-64","56778-76",2013
"35002","55517-77","51189-94",2013
"35003","55517-77","55517-77",2013
"35004","56078-47","49922-29",2013
"35005","56096-29","49922-29",2013
"35006","56078-47","55254-79",2013
"35007","56096-29","55254-79",2013
"35008","56078-47","56078-47",2013
"35009","56096-29","56078-47",2013
"35010","56078-47","56096-29",2013
"35011","56096-29","56096-29",2013
"35012","56078-47","58362-22",2013
"35013","56096-29","58362-22",2013
"35014","51508-72","51508-72",2013
"35015","51508-72","59234-05",2013
"35016","11288-71","11288-71",2013
"35017","11288-71","42944-05",2013
"35018","11140-93","11140-93",2005
"35019","11140-93","11279-71",2005
"35020","25338-70","25338-70",2013
"35021","25338-70","96302-71",2013
"35022","57998-80","11191-87",2014
"35023","57998-80","51500-35",2014
"35024","57998-80","57998-80",2014
"35025","57998-80","60676-84",2014
"35026","11274-22","11274-22",2013
"35027","11274-22","11290-51",2013
"35028","11274-22","45704-44",2013
"35029","11274-22","54840-88",2013
"35030","11234-26","11114-11",2012
"35031","11234-26","11234-26",2012
"35032","11234-26","11275-75",2012
"35033","11234-26","53450-56",2012
"35034","11114-11","11114-11",2007
"35035","11114-11","11234-26",2007
"35036","11114-11","11275-75",2007
"35037","11114-11","53450-56",2007
"35038","11114-11","56171-62",2007
"35039","11258-56","11258-56",2013
"35040","11258-56","54378-64",2013
"35041","11234-26","11234-26",2005
"35042","11234-26","53450-56",2005
"35043","11234-26","63967-15",2005
"35044","51089-77","11118-97",2013
"35045","51089-77","51016-51",2013
"35046","51089-77","51089-77",2013
"35047","51089-77","55618-12",2013
"35048","51089-77","58384-81",2013
"35049","51089-77","96654-88",2013
"35050","11231-38","10557-73",2013
"35051","11231-38","11231-38",2013
"35052","11241-91","107510-32",2015
"35053","11318-86","107510-32",2015
"35054","11241-91","11241-91",2015
"35055","11318-86","11241-91",2015
"35056","11241-91","11318-86",2015
"35057","11318-86","11318-86",2015
"35058","11241-91","11331-91",2015
"35059","11318-86","11331-91",2015
"35060","10133-20","10133-20",2013
"35061","11227-60","10133-20",2013
"35062","10133-20","11133-01",2013
"35063","11227-60","11133-01",2013
"35064","10133-20","11227-60",2013
"35065","11227-60","11227-60",2013
"35066","10133-20","50980-60",2013
"35067","11227-60","50980-60",2013
"35068","10133-20","55869-04",2013
"35069","11227-60","55869-04",2013
"35070","10133-20","58373-20",2013
"35071","11227-60","58373-20",2013
"35072","51001-57","11335-42",2013
"35073","51001-57","51001-57",2013
"35074","11338-48","11229-85",2014
"35075","11338-48","11338-48",2014
"35076","156736-99","11229-85",2014
"35077","156736-99","156736-99",2014
"35078","11307-34","11108-17",2014
"35079","11307-34","11216-98",2014
"35080","11307-34","11307-34",2014
"35081","11237-50","11113-84",2013
"35082","11237-50","11141-38",2013
"35083","11237-50","11237-50",2013
"35084","11228-50","11158-39",2013
"35085","11228-50","11228-50",2013
"35086","10242-91","10242-91",2013
"35087","10242-91","11297-98",2013
"35088","10242-91","54582-49",2013
"35089","51089-77","51089-77",2013
"35090","51089-77","52370-29",2013
"35091","51089-77","54872-65",2013
"35092","51089-77","54918-73",2013
"35093","51089-77","55803-52",2013
"35094","56078-47","109500-58",2013
"35095","56078-47","50980-60",2013
"35096","56078-47","51595-21",2013
"35097","56078-47","56078-47",2013
"35098","56078-47","57697-12",2013
"35099","11307-52","11307-52",2005
"35100","11307-52","92105-83",2005
"35101","53974-45","11259-64",2015
"35102","53974-45","53974-45",2015
"35103","11333-26","11333-26",2013
"35104","53906-41","11333-26",2013
"35105","11333-26","53906-41",2013
"35106","53906-41","53906-41",2013
"35107","59276-98","156689-11",2013
"35108","59276-98","53975-26",2013
"35109","59276-98","59276-98",2013
"35110","48176-38","10618-12",2013
"35111","48176-38","40829-14",2013
"35112","48176-38","48176-38",2013
"35113","48176-38","50980-69",2013
"35114","48176-38","51022-00",2013
"35115","48176-38","54858-70",2013
"35116","48176-38","56144-62",2013
"35117","48176-38","56752-12",2013
"35118","48176-38","56833-03",2013
"35119","48176-38","59264-65",2013
"35120","48176-38","93224-08",2013
"35121","11321-29","11321-29",2013
"35122","11321-29","53804-17",2013
"35123","11321-29","59280-04",2013
"35124","11159-74","11159-74",2009
"35125","11159-74","11310-85",2009
"35126","11226-25","11123-38",2001
"35127","11226-25","11148-04",2001
"35128","11226-25","11199-79",2001
"35129","11226-25","11226-25",2001
"35130","25383-07","25383-07",2013
"35131","25383-07","82492-30",2013
"35132","11217-61","11217-61",2013
"35133","54378-64","11217-61",2013
"35134","11217-61","54378-64",2013
"35135","54378-64","54378-64",2013
"35136","10241-02","10241-02",2013
"35137","58184-20","10241-02",2013
"35138","10241-02","58184-20",2013
"35139","58184-20","58184-20",2013
"35140","10241-02","10241-02",2014
"35141","11141-11","10241-02",2014
"35142","10241-02","11141-11",2014
"35143","11141-11","11141-11",2014
"35144","10241-02","179240-41",2014
"35145","11141-11","179240-41",2014
"35146","10241-02","51463-18",2014
"35147","11141-11","51463-18",2014
"35148","10241-02","51625-27",2014
"35149","11141-11","51625-27",2014
"35150","42770-53","11215-63",2013
"35151","42770-53","11251-81",2013
"35152","42770-53","11295-73",2013
"35153","42770-53","42770-53",2013
"35154","51089-77","51089-77",2014
"35155","51089-77","53345-44",2014
"35156","51089-77","54520-03",2014
"35157","51089-77","61925-41",2014
"35158","59886-01","52384-15",2013
"35159","59886-01","59886-01",2013
"35160","58062-52","11111-68",2013
"35161","58062-52","11226-79",2013
"35162","58062-52","11297-44",2013
"35163","58062-52","58062-52",2013
"35164","57624-13","52202-44",2013
"35165","57624-13","57624-13",2013
"35166","55748-44","12150-91",2013
"35167","55748-44","55748-44",2013
"35168","58373-47","51700-69",2013
"35169","58373-47","58373-47",2013
"35170","11120-59","11120-59",2013
"35171","11120-59","11248-21",2013
"35172","11120-59","11333-26",2013
"35173","53802-64","53802-64",2013
"35174","56823-49","53802-64",2013
"35175","53802-64","54858-79",2013
"35176","56823-49","54858-79",2013
"35177","53802-64","56823-49",2013
"35178","56823-49","56823-49",2013
"35179","52874-92","52874-92",2013
"35180","52874-92","54377-29",2013
"35181","52874-92","54746-20",2013
"35182","11270-53","11270-53",2014
"35183","11270-53","54858-70",2014
"35184","11270-53","56833-03",2014
"35185","11118-25","11118-25",2013
"35186","11118-25","52697-53",2013
"35187","11159-74","11159-74",2010
"35188","54858-79","11159-74",2010
"35189","11159-74","53975-26",2010
"35190","54858-79","53975-26",2010
"35191","11159-74","54858-79",2010
"35192","54858-79","54858-79",2010
"35193","42240-79","42240-79",2013
"35194","42240-79","63180-10",2013
"35195","59897-08","54543-43",2013
"35196","59897-08","59896-81",2013
"35197","59897-08","59897-08",2013
"35198","60676-84","152454-88",2013
"35199","60676-84","60676-84",2013
"35200","170053-39","11216-98",2014
"35201","170053-39","148770-82",2014
"35202","170053-39","170053-39",2014
"35203","11303-02","11303-02",2013
"35204","11303-02","41716-90",2013
"35205","11303-02","51007-51",2013
"35206","11303-02","56833-03",2013
"35207","41003-11","11456-92",2014
"35208","41003-11","41003-11",2014
"35209","41003-11","51160-87",2014
"35210","11208-16","11182-24",2013
"35211","11208-16","11208-16",2013
"35212","11300-14","11216-98",2013
"35213","11300-14","11252-44",2013
"35214","11300-14","11270-71",2013
"35215","11300-14","11300-14",2013
"35216","11300-14","95663-89",2013
"35217","10563-22","10563-22",2013
"35218","10563-22","11288-71",2013
"35219","11104-03","11104-03",2008
"35220","11104-03","11227-06",2008
"35221","51324-76","51324-76",2012
"35222","51324-76","62942-95",2012
"35223","51324-76","96302-71",2012
"35224","11241-82","10134-73",2014
"35225","11288-17","10134-73",2014
"35226","11333-44","10134-73",2014
"35227","11241-82","11241-82",2014
"35228","11288-17","11241-82",2014
"35229","11333-44","11241-82",2014
"35230","11241-82","11280-70",2014
"35231","11288-17","11280-70",2014
"35232","11333-44","11280-70",2014
"35233","11241-82","11288-17",2014
"35234","11288-17","11288-17",2014
"35235","11333-44","11288-17",2014
"35236","11241-82","11333-44",2014
"35237","11288-17","11333-44",2014
"35238","11333-44","11333-44",2014
"35239","11241-82","60293-62",2014
"35240","11288-17","60293-62",2014
"35241","11333-44","60293-62",2014
"35242","11136-97","11136-97",2013
"35243","11136-97","11145-52",2013
"35244","11326-33","10052-20",2014
"35245","11326-33","11228-50",2014
"35246","11326-33","11253-52",2014
"35247","11326-33","11296-45",2014
"35248","11326-33","11326-33",2014
"35249","11326-33","166172-86",2014
"35250","11326-33","52507-90",2014
"35251","11326-33","54892-09",2014
"35252","11326-33","55747-99",2014
"35253","40764-07","10357-03",2013
"35254","40764-07","11189-44",2013
"35255","40764-07","11318-77",2013
"35256","40764-07","11326-33",2013
"35257","40764-07","40764-07",2013
"35258","40764-07","42715-00",2013
"35259","40764-07","51709-96",2013
"35260","56060-38","11246-86",2014
"35261","56060-38","56060-38",2014
"35262","53443-09","11242-54",2013
"35263","53443-09","42278-77",2013
"35264","53443-09","52916-50",2013
"35265","53443-09","53443-09",2013
"35266","53443-09","54812-17",2013
"35267","11135-71","11135-71",2014
"35268","11135-71","11215-63",2014
"35269","11135-71","42156-01",2014
"35270","11238-49","11238-49",2013
"35271","11238-49","55090-90",2013
"35272","53539-93","11165-05",2013
"35273","53539-93","11192-59",2013
"35274","53539-93","51327-55",2013
"35275","53539-93","53539-93",2013
"35276","53539-93","53715-43",2013
"35277","53539-93","55261-00",2013
"35278","53539-93","57781-45",2013
"35279","11323-45","11189-44",2013
"35280","11323-45","11215-63",2013
"35281","11323-45","11321-29",2013
"35282","11323-45","11323-45",2013
"35283","11323-45","42737-23",2013
"35284","11323-45","50980-60",2013
"35285","11323-45","50980-69",2013
"35286","11263-51","11104-03",2010
"35287","11263-51","11162-08",2010
"35288","11263-51","11168-38",2010
"35289","11263-51","11252-44",2010
"35290","11263-51","11263-51",2010
"35291","11263-51","11304-28",2010
"35292","11118-25","11118-25",2013
"35293","11118-25","11228-50",2013
"35294","43074-01","43074-01",2013
"35295","43074-01","56301-22",2013
"35296","11139-13","10446-40",2001
"35297","11139-13","11127-79",2001
"35298","11139-13","11139-13",2001
"35299","11139-13","11227-33",2001
"35300","11139-13","11272-96",2001
"35301","51639-67","51639-67",2013
"35302","51639-67","54540-82",2013
"35303","59932-00","11159-74",2013
"35304","59932-00","59932-00",2013
"35305","11295-73","11295-73",2013
"35306","41716-90","11295-73",2013
"35307","11295-73","41716-90",2013
"35308","41716-90","41716-90",2013
"35309","11193-13","11133-01",2013
"35310","11193-13","11189-44",2013
"35311","11193-13","11193-13",2013
"35312","11193-13","56096-29",2013
"35313","52339-60","118790-74",2013
"35314","56613-25","118790-74",2013
"35315","52339-60","52339-60",2013
"35316","56613-25","52339-60",2013
"35317","52339-60","56613-25",2013
"35318","56613-25","56613-25",2013
"35319","52339-60","60315-22",2013
"35320","56613-25","60315-22",2013
"35321","11263-96","11216-53",2013
"35322","11263-96","11260-45",2013
"35323","11263-96","11263-96",2013
"35324","11263-96","53539-93",2013
"35325","56378-35","56378-35",2013
"35326","56378-35","61992-91",2013
"35327","11126-89","109557-10",2014
"35328","11126-89","11126-89",2014
"35329","11126-89","62353-54",2014
"35330","11184-49","11184-49",2013
"35331","11184-49","11203-21",2013
"35332","59939-74","11140-03",2013
"35333","59939-74","59939-74",2013
"35334","59939-74","59939-92",2013
"35335","60605-02","56272-06",2013
"35336","60605-02","60605-02",2013
"35337","51249-07","51249-07",2013
"35338","55961-83","51249-07",2013
"35339","51249-07","55961-83",2013
"35340","55961-83","55961-83",2013
"35341","51249-07","62157-25",2013
"35342","55961-83","62157-25",2013
"35343","51022-00","51022-00",2011
"35344","51022-00","56151-10",2011
"35345","51700-69","112652-02",2013
"35346","51700-69","51700-69",2013
"35347","51700-69","55156-33",2013
"35348","51700-69","85991-68",2013
"35349","10139-41","10139-41",2013
"35350","10139-41","55821-52",2013
"35351","10139-41","55961-83",2013
"35352","10139-41","10139-41",2013
"35353","10139-41","11189-44",2013
"35354","10139-41","11191-87",2013
"35355","10139-41","52507-90",2013
"35356","11115-28","11115-28",2010
"35357","11115-28","42871-51",2010
"35358","11115-28","55481-05",2010
"35359","11115-28","59186-17",2010
"35360","42871-51","11215-54",2012
"35361","42871-51","118979-29",2012
"35362","42871-51","42871-51",2012
"35363","42871-51","57999-43",2012
"35364","11237-50","11237-50",2013
"35365","54106-66","11237-50",2013
"35366","11237-50","54106-66",2013
