"","Investor_Id","Year","Percent"
"696","10215-64",2015,2000
"697","10215-64",2016,10000
"698","10215-64",2017,10000
"699","10215-64",2018,10000
"700","10215-73",2000,10000
"701","10215-73",2001,5000
"702","10215-73",2002,3333.33333333333
"703","10215-73",2003,2500
"704","10215-73",2004,3333.33333333333
"705","10215-73",2005,3333.33333333333
"706","10215-73",2006,3333.33333333333
"707","10215-73",2007,1666.66666666667
"708","10215-73",2008,1666.66666666667
"709","10215-73",2009,1666.66666666667
"710","10215-73",2010,2500
"711","10215-73",2011,5000
"712","10215-73",2012,2500
"713","10215-73",2013,2653.0612244898
"714","10215-73",2014,2000
"715","10215-73",2015,1562.5
"716","10215-73",2016,5510.20408163265
"717","10215-73",2017,1836.73469387755
"718","10215-73",2018,2500
"719","102158-83",2009,10000
"720","102158-83",2013,5000
"721","102158-83",2014,3333.33333333333
"722","102158-83",2015,1597.63313609467
"723","102158-83",2016,2222.22222222222
"724","102158-83",2017,3333.33333333333
"725","102206-08",2015,10000
"726","102235-42",2016,10000
"727","102235-42",2017,10000
"728","102235-42",2018,3333.33333333333
"729","10228-51",1998,10000
"730","10228-51",2003,10000
"731","10228-51",2004,3333.33333333333
"732","10228-51",2005,3333.33333333333
"733","10228-51",2006,2839.50617283951
"734","10228-51",2007,1938.77551020408
"735","10228-51",2008,2968.75
"736","10228-51",2009,1900.82644628099
"737","10228-51",2010,3553.71900826446
"738","10228-51",2011,1875
"739","10228-51",2012,2000
"740","10228-51",2013,10000
"741","10228-51",2014,3333.33333333333
"742","10228-51",2015,10000
"743","10228-51",2017,10000
"744","10228-51",2018,3333.33333333333
"745","102285-10",2013,3333.33333333333
"746","102285-10",2014,10000
"747","102285-10",2015,2500
"748","102285-10",2016,1428.57142857143
"749","102285-10",2017,2800
"750","102285-10",2018,10000
"751","10230-94",1999,10000
"752","10230-94",2000,5000
"753","10230-94",2006,2800
"754","10230-94",2007,2500
"755","10230-94",2008,1250
"756","10230-94",2009,10000
"757","10230-94",2010,5000
"758","10230-94",2011,5000
"759","10230-94",2012,10000
"760","10230-94",2013,2500
"761","10230-94",2014,3333.33333333333
"762","10230-94",2015,3750
"763","10230-94",2016,10000
"764","10230-94",2017,5000
"765","10230-94",2018,5000
"766","10234-63",2002,10000
"767","102354-67",2014,10000
"768","102354-67",2015,3333.33333333333
"769","102354-67",2016,3750
"770","102376-00",2015,3333.33333333333
"771","102376-00",2016,2222.22222222222
"772","102376-00",2017,1111.11111111111
"773","102376-00",2018,2500
"774","102376-36",2014,5000
"775","102376-36",2015,5000
"776","102376-36",2016,5000
"777","102376-36",2017,2000
"778","102386-26",2014,5000
"779","102386-26",2015,5000
"780","102386-26",2016,5000
"781","102386-26",2018,10000
"782","102408-85",2014,10000
"783","102408-85",2015,3333.33333333333
"784","102408-85",2016,2500
"785","102408-85",2018,10000
"786","10241-02",1990,10000
"787","10241-02",1992,10000
"788","10241-02",1995,5000
"789","10241-02",1998,5000
"790","10241-02",1999,1600
"791","10241-02",2000,2500
"792","10241-02",2001,2396.69421487603
"793","10241-02",2002,1484.375
"794","10241-02",2003,1718.75
"795","10241-02",2004,1718.75
"796","10241-02",2005,2256.94444444444
"797","10241-02",2006,2384
"798","10241-02",2007,1686.39053254438
"799","10241-02",2008,2168.36734693878
"800","10241-02",2009,2967.86389413989
"801","10241-02",2010,1985.73127229489
"802","10241-02",2011,1349.48096885813
"803","10241-02",2012,1750
"804","10241-02",2013,2326.38888888889
"805","10241-02",2014,1944.44444444444
"806","10241-02",2015,1836.73469387755
"807","10241-02",2016,2561.98347107438
"808","10241-02",2017,1875
"809","10241-02",2018,3333.33333333333
"810","10242-91",1996,10000
"811","10242-91",1998,5555.55555555555
"812","10242-91",1999,5000
"813","10242-91",2001,5000
"814","10242-91",2002,2500
"815","10242-91",2003,1666.66666666667
"816","10242-91",2004,1250
"817","10242-91",2005,1200
"818","10242-91",2006,578.512396694215
"819","10242-91",2007,520.833333333333
"820","10242-91",2008,535.077288941736
"821","10242-91",2009,726.643598615917
"822","10242-91",2010,909.090909090909
"823","10242-91",2011,600
"824","10242-91",2012,700
"825","10242-91",2013,972.222222222222
"826","10242-91",2014,582.639714625446
"827","10242-91",2015,625
"828","10242-91",2016,969.529085872576
"829","10242-91",2017,1836.73469387755
"830","102425-68",2013,3333.33333333333
"831","102425-68",2014,1428.57142857143
"832","102425-68",2015,1562.5
"833","102425-68",2016,1562.5
"834","102425-68",2017,10000
"835","102425-68",2018,5000
"836","102431-26",2014,10000
"837","102431-26",2015,10000
"838","102431-26",2016,10000
"839","102431-26",2017,5000
"840","102454-84",2015,10000
"841","102454-84",2016,10000
"842","102454-84",2017,10000
"843","102473-47",2010,10000
"844","102473-47",2013,10000
"845","102473-47",2014,10000
"846","102473-47",2015,10000
"847","102473-47",2016,10000
"848","102476-98",2008,10000
"849","102476-98",2010,10000
"850","102476-98",2012,5000
"851","102476-98",2013,5000
"852","102476-98",2015,10000
"853","102476-98",2016,5000
"854","102491-20",2011,10000
"855","102491-20",2014,10000
"856","102491-20",2016,10000
"857","102495-16",2011,10000
"858","102495-16",2012,10000
"859","102495-16",2013,5000
"860","102495-16",2014,1600
"861","102495-16",2015,677.764565992866
"862","102495-16",2016,1074.38016528926
"863","102495-16",2018,5000
"864","10254-88",2002,10000
"865","10255-69",2002,10000
"866","10255-69",2003,10000
"867","10255-69",2005,10000
"868","10255-69",2015,10000
"869","10255-69",2016,10000
"870","102551-95",2015,5000
"871","102551-95",2016,2000
"872","102551-95",2017,3750
"873","102551-95",2018,5000
"874","102577-60",2015,5000
"875","102577-60",2016,2000
"876","102577-60",2017,2800
"877","102577-60",2018,10000
