Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,6,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,7,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,8,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,9,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,10,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,1,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,2,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,3,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,4,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,5,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,6,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,7,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,8,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,9,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,10,DefaultEntity,Person,[Population],Costs,CostPerItem,Average,0
Scenario1,1,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,2,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,3,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,4,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,5,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,6,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,7,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,8,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,9,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,10,DefaultEntity,Person,[Population],Costs,CostPerItem,Maximum,0
Scenario1,1,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,2,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,3,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,4,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,5,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,6,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,7,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,8,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,9,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,10,DefaultEntity,Person,[Population],Costs,CostPerItem,Minimum,0
Scenario1,1,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,265
Scenario1,2,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,280
Scenario1,3,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,286
Scenario1,4,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,271
Scenario1,5,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,283
Scenario1,6,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,275
Scenario1,7,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,296
Scenario1,8,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,263
Scenario1,9,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,286
Scenario1,10,DefaultEntity,Person,[Population],Costs,CostPerItem,Observations,259
Scenario1,1,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.88261897004557
