"","x"
"863",44529762
"864",44579896
"865",44639953
"866",44719762
"867",44759991
"868",44799906
"869",45009851
"870",45019696
"871",45089969
"872",45129649
"873",45159681
"874",45179825
"875",45259910
"876",45289949
"877",45379982
"878",45409635
"879",45459951
"880",45489712
"881",45529948
"882",45559604
"883",45609976
"884",45619893
"885",45619990
"886",45639598
"887",45669818
"888",45729762
"889",45729954
"890",46049805
"891",46079514
"892",46139864
"893",46149799
"894",46159619
"895",46179587
"896",46279661
"897",46379982
"898",46539981
"899",46619809
"900",46649835
"901",46659918
"902",46699871
"903",46849816
"904",46859803
"905",46869711
"906",46969850
"907",47009769
"908",47099981
"909",47199757
"910",47259950
"911",47289751
"912",47339915
"913",47399624
"914",47409833
"915",47499959
"916",47519827
"917",47559741
"918",47809660
"919",47879978
"920",47899869
"921",48059685
"922",48109806
"923",48119887
"924",48159996
"925",48179958
"926",48409669
"927",48419908
"928",48539899
"929",48549830
"930",48619969
"931",48729999
"932",48769937
"933",48859777
"934",48889801
"935",48919832
"936",48929631
"937",48929881
"938",48979985
"939",49089601
"940",49159827
"941",49159936
"942",49229919
"943",49289968
"944",49299583
"945",49319652
"946",49349847
"947",49419811
"948",49469871
"949",49499942
"950",49579835
"951",49629990
"952",49649573
"953",49709559
"954",49709891
"955",49719871
"956",49789687
"957",49849956
"958",49889711
"959",49949840
"960",49969707
"961",49969850
"962",49979614
"963",49989816
"964",50029638
"965",50029995
"966",50039954
"967",50099788
"968",50129941
"969",50139938
"970",50239830
"971",50289781
"972",50319938
"973",50389870
"974",50399606
"975",50659632
"976",50749771
"977",50759569
"978",50789947
"979",50809852
"980",50849895
"981",50919917
"982",50939995
"983",50969868
"984",50999984
"985",51079908
"986",51229800
"987",51319656
"988",51349847
"989",51369646
"990",51389657
"991",51419884
"992",51499926
"993",51529853
"994",51529943
"995",51549800
"996",51709810
"997",51729948
"998",51749812
"999",51819895
"1000",51829865
"1001",51929660
"1002",51949884
"1003",52039819
"1004",52189993
"1005",52269599
"1006",52459769
"1007",52559988
"1008",52579592
"1009",52609878
"1010",52649644
"1011",52679821
"1012",52709984
"1013",52739986
"1014",52819759
"1015",52879917
"1016",52969816
"1017",52989908
"1018",53009954
"1019",53219594
"1020",53219850
"1021",53369701
"1022",53379983
"1023",53649964
"1024",53659748
"1025",53679648
"1026",53679928
"1027",53759799
"1028",53949979
"1029",54039964
"1030",54049814
"1031",54059803
"1032",54179987
"1033",54219810
"1034",54259852
"1035",54279893
"1036",54299912
"1037",54329919
"1038",54339975
"1039",54359747
"1040",54429818
"1041",54449732
"1042",54459976
"1043",54589671
"1044",54589898
"1045",54679990
"1046",54689670
"1047",54939758
"1048",54939899
"1049",54999909
"1050",55109864
"1051",55119753
"1052",55129810
"1053",55149728
"1054",55349675
"1055",55439816
"1056",55469918
"1057",55589990
"1058",55659902
"1059",55669873
"1060",55699934
"1061",55729733
"1062",55769744
"1063",55859983
"1064",55919816
"1065",55959637
"1066",55979969
"1067",56209977
"1068",56379915
"1069",56539716
"1070",56629870
"1071",56669670
"1072",56709813
"1073",56719714
"1074",56839870
"1075",56839979
"1076",56929566
"1077",57009943
"1078",57079889
"1079",57259734
"1080",57269838
"1081",57299744
"1082",57369892
"1083",57379806
