"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2016-05-08,138936952,8516.928571,"0",0,3.99,0,113,0,0,34262,0,0,0,0,3.99,109.04263120873,0,0,0,0,0,0,3.95736879127013,0,0
2016-05-15,138936952,8811.969388,"0",0,3.99,0,122,0,0,46593,0,0,0,0,3.99,116.388956695307,0,0,0,0,0,0,5.61104330469263,0,0
2016-05-22,138936952,9105.581633,"1",0,3.99,0,117,0,0,5554,0,0,0,0,3.99,116.450881341847,2.57618689812438e-14,0,0,0,0,0,0.549118658153336,0,0
2016-05-29,138936952,9522.030612,"0",0,3.99,0,138,0,0,28383,0,0,0,0,3.99,134.286730779101,0,0,0,0,0,0,3.7132692208991,0,0
2016-06-05,138936952,9967.591837,"1",0,3.99,1,207,0,1,34790,1,0,0.535736428809084,0.493787330243005,3.99,149.24189837053,0,27.1560374028028,0,0,0,7.96204763546294,2.41971938325938,7.6240233184864,1.74705191740853
2016-06-12,138936952,10402.4898,"0",0,3.99,0,120,0,0,37552,0,0,0.506194809912152,0.438977617910447,3.99,105.184475368041,0,0,0,0,0,0,3.42887473354674,9.14923118358656,2.04519784477806
2016-06-19,138936952,10771.52041,"0",0,3.99,0,149,0,0,5543,0,0,0.477256972274267,0.387203723277589,3.99,135.214566658631,3.05476824429019e-14,0,0,0,0,0,0.630618395588963,10.8020199182902,2.26114676235597
2016-06-26,138936952,11120.06122,"0",0,3.99,0,145,0,0,16482,0,0,0.449065342002492,0.339192911388731,3.99,131.7306612015,2.90025879647707e-14,0,0,0,0,0,1.7586057592746,9.5232380375989,1.85264592191411
2016-07-03,138936952,11497.30612,"0",0,3.99,0.5,125,0,1,33914,0,4e+05,0.421738225446744,0.295358450996547,3.99,102.133223145168,0,12.2087029920399,0,0,0,0,2.40636410954534,5.96988791573118,1.06447764094761
2016-07-10,138936952,11776.19388,"0",0,3.99,0,143,0,0,40955,0,2e+05,0.395370797782317,0.255857047014719,3.99,129.867459395688,0,0,0,0,0,0,3.99952582294963,7.63299914727474,1.2686694204689
2016-07-17,138936952,11892.13265,"0",0,3.99,0,127,0,0,29209,0,4e+05,0.370036556615148,0.220649833259629,3.99,116.92157703958,0,0,0,0,0,0,2.5518698045993,6.40191079739838,0.981644973403351
2016-07-24,138936952,11859.92857,"0",0,3.99,0.5,166,0,1,28608,0,3e+05,0.345789092692387,0.189559024443169,3.99,138.627636407281,0,16.097830900715,0,0,0,0,2.66911037208047,6.41485562716896,0.898155539746627
2016-07-31,138936952,11748.41837,"0",0,3.99,0,153,0,0,41482,0,4e+05,0.322664051220265,0.162316196393666,3.99,140.681015100605,0,0,0,0,0,0,4.44768525668195,6.81027779503246,0.882825767127808
2016-08-07,138936952,11537.63265,"1",0,3.99,0.5,175,0,0,8184,1,0,0.300681179555485,0.138600855210125,3.99,145.244841779042,0,12.4804940652119,0,0,0,9.13727101493001,0.571560162269837,4.23106239167513,0.495094827316624
2016-08-14,138936952,11259.60204,"1",0,4.29,0,135,0,0,38927,0,0,0.279846378552315,0.118069600241598,3.99,139.984651988651,-14.2062013724493,0,0,0,0,0,3.85528424093378,5.44514411217372,0.593863576001585
2016-08-21,138936952,10835.37755,"0",0,4.29,0,134,0,0,13910,0,0,0.260153694582893,0.100377040098805,3.99,144.233888703344,-18.9092543793353,0,0,0,0,0,1.7603969745623,6.44824730916819,0.650013454885291
2016-08-28,138936952,10356.82653,"0",0,4.29,0,107,0,0,32201,0,0,0.241587206619196,0.085189946523915,3.99,113.982649277784,-15.5758668132426,0,0,0,0,0,3.34197096043144,4.90723998349076,0.452588249831472
2016-09-04,138936952,9897.285714,"0",0,4.29,0,104,0,0,18891,0,0,0.224122777525842,0.0721961401932899,3.99,113.04848570968,-16.1150784577875,0,0,0,0,0,2.01023927309045,4.66114091744454,0.39353068897437
2016-09-11,138936952,9453.704082,"0",0,4.29,0,107,0,0,17587,0,0,0.20772965085785,0.0611094470775336,3.99,117.299702625834,-17.350511255009,0,0,0,0,0,2.00118328076248,4.61604311080678,0.356377527938006
2016-09-18,138936952,9003.265306,"0",0,4.29,0,110,0,0,42687,0,0,0.192371884139565,0.051671841849467,3.99,118.166415956797,-18.1531943113947,0,0,0,0,0,5.0520734816328,4.46032580034471,0.31450275506939
2016-09-25,138936952,8594.27551,"0",0,4.29,0,92,0,0,16211,0,0,0.178009617067189,0.0436536634465723,3.99,102.429447261842,-16.1814603401753,0,0,0,0,0,1.6983631088503,3.63874303276673,0.234632509981576
2016-10-02,138936952,8154.459184,"1",0,4.29,1,188,0,1,7044,0,0,0.472665657061331,0.638271261787645,3.99,147.541420004349,-17.3914005068659,43.0585782733468,0,0,0,0,0.858039749355653,11.5663682496622,4.01170238757363
2016-10-09,138936952,7766.846939,"0",0,4.29,0,134,0,0,25588,0,0,0.444605804202449,0.581438595114474,3.99,135.337251310079,-23.1713846168873,0,0,0,0,0,3.84359399140116,12.9275081482214,4.46683915166818
2016-10-16,138936952,7436.367347,"0",0,4.29,0,91,0,0,39205,0,0,0.417427312560093,0.524200042470333,3.99,91.3642841467809,-16.0875361592575,0,0,0,0,0,4.06239821191378,8.39356753757165,2.78655610464743
2016-10-23,138936952,7119.765306,"0",0,4.29,0,104,0,0,2643,0,0,0.391221760111861,0.46818029700581,3.99,110.122469962352,-19.6291732251154,0,0,0,0,0,0.332979304786507,9.46597849761167,3.00305929211835
2016-10-30,138936952,6883.785714,"1",0,4.29,0.5,69,0,1,14965,0,0,0.366059314428428,0.414659022551032,3.99,61.3511320184265,-9.41211385761605,10.3850395398622,0,0,0,0,0.947017392528652,4.54319864990085,1.34337957761444
2016-11-06,138936952,6772.306122,"0",0,4.29,0,95,0,0,18537,0,0,0.341990542023309,0.364551342893669,3.99,100.604054222405,-18.3851376280957,0,0,0,0,0,2.16916708249445,7.726860572126,2.18321512298902
2016-11-13,138936952,6712.010204,"0",0,4.29,0,82,0,0,45114,0,0,0.319048390033303,0.31843318373836,3.99,84.7678455183651,-15.6731145064718,0,0,0,0,0,4.47849903653264,6.17064109503374,1.63036993877781
2016-11-20,138936952,6632.091837,"0",0,4.29,0,79,0,0,41354,0,0,0.297250239542617,0.276591841010425,3.99,82.7131562203225,-15.3216125867773,0,0,0,0,0,4.00539450365384,5.60884096759736,1.3815984110437
2016-11-27,138936952,6553.765306,"1",0,4.29,0.5,104,0,1,16708,0,0,0.276599951149589,0.239086329613261,3.99,94.3758515055709,-15.0815505606539,16.3795720641772,0,0,0,0,1.68018654927745,5.44268892560282,1.23052027918495
