"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2017-06-18,138936951,10402.4898,0,0,0.79,0,275,0,0,6873,0,0.471664724924471,0.487332850614363,0.69,276.669497855761,-37.2950545261466,0,0,0,0,0,2.77360925263798,35.8046454841973,0
2017-06-25,138936951,10771.52041,0,0,0.79,0,248,0,0,43939,0,0.443634074030806,0.432825476381065,0.69,238.680861751755,-30.291943747391,0,0,0,0,0,14.8599057900563,27.9514674926449,0
2017-07-02,138936951,11120.06122,0,0,0.79,0,221,0,0,48573,0,0.416488387460003,0.38145551164183,0.69,212.922750222999,-26.5244674819424,0,0,0,0,0,14.4564859600067,23.0153777689223,0
2017-07-09,138936951,11497.30612,0,0,0.79,0.05,286,0,0,26341,0,0.390318462128947,0.333911401462797,0.69,270.360616935663,-32.2109348294683,15.4936122457859,0,0,0,0,9.49755388099251,26.4579729430784,0
2017-07-16,138936951,11776.19388,0,0,0.79,0,222,0,0,20404,0,0.365193743975664,0.290573684152814,0.69,225.127484640405,-28.5095067303857,0,0,0,0,0,6.37726023234235,21.3248384064453,0
2017-07-23,138936951,11892.13265,0,0,0.79,0,178,0,0,34590,0,0.341164145327327,0.251573387917305,0.69,178.090616003618,-22.1291046645115,0,0,0,0,0,8.48569954000623,15.535406322656,0
2017-07-30,138936951,11859.92857,0,0,0.79,0,193,0,0,28960,0,0.318262030681259,0.216852841971546,0.69,195.722554067207,-24.6812662907409,0,0,0,0,0,7.87037216961757,16.0528056939647,0
2017-08-06,138936951,11748.41837,1,0,0.79,0,191,0,0,18607,0,0.296504270983895,0.186221505869305,0.69,197.695233866887,-25.5224630469784,0,0,0,0,0,5.17336387289467,15.3169553012092,0
2017-08-13,138936951,11537.63265,1,0,0.79,0,235,0,0,38326,0,0.275894287725024,0.15940315672934,0.69,237.830700290606,-30.4281009019395,0,0,0,0,0,12.8659938200301,17.0681117770234,0
2017-08-20,138936951,11259.60204,0,0,0.79,0,253,0,0,47023,0,0.256424027470145,0.136073334099126,0.69,254.237484562714,-32.7806678926613,0,0,0,0,0,17.0613940917092,17.065344508947,0
2017-08-27,138936951,10835.37755,0,0,0.79,0,232,0,0,15746,0,0.238075824323266,0.115887481144697,0.69,245.520517226219,-33.6137046315197,0,0,0,0,0,5.69291967731347,15.9062699437315,0
2017-09-03,138936951,10356.82653,0,0,0.79,0.05,247,0,0,12535,0,0.220824122054562,0.0985010014244399,0.69,247.695778909624,-33.3801447566561,15.5887857867681,0,0,0,0,4.53997222165719,14.8215751983566,0
2017-09-10,138936951,9897.285714,0,0,0.79,0,180,0,0,8252,0,0.204637039273403,0.0835827298840412,0.69,195.248841095852,-28.2281910050898,0,0,0,0,0,2.47165423304112,11.2989833107045,0
2017-09-17,138936951,9453.704082,0,0,0.79,0,239,0,0,25429,0,0.189477770253203,0.0708233003088024,0.69,253.492882705121,-36.9499933126341,0,0,0,0,0,10.0261105075064,13.725236807438,0
2017-09-24,138936951,9003.265306,0,0,0.79,0,241,0,0,41691,0,0.175305821079825,0.0599397242044039,0.69,250.207724397793,-36.8064788654937,0,0,0,0,0,16.4571749385239,12.6715506303288,0
2017-10-01,138936951,8594.27551,1,0,0.79,0.2,209,0,1,36799,0,0.471132830859387,0.726980657344544,0.69,154.765727088938,-14.5333852302561,33.4072171099704,11.2710471607249,0,0,0,6.37215492639152,15.7295428654889,0
2017-10-08,138936951,8154.459184,0,0,0.79,0,244,0,0,45449,0,0.443117766539177,0.675075715251957,0.69,233.224516812497,-33.9757033444151,0,0,0,0,0,16.8641836608949,30.4221689000282,0
2017-10-15,138936951,7766.846939,0,0,0.79,0,239,0,0,36119,0,0.415989571075138,0.619553833987037,0.69,233.383986317668,-35.1870634098216,0,0,0,0,0,13.7080180026181,29.1715539273533,0
2017-10-22,138936951,7436.367347,0,0,0.79,0,199,0,0,33783,0,0.389838626800316,0.562387553468672,0.69,196.499068406024,-30.3059315383186,0,0,0,0,0,10.9707911253926,23.3464278667148,0
2017-10-29,138936951,7119.765306,1,0,0.79,0,224,0,0,37586,0,0.364733996817929,0.50538954855464,0.69,221.439559866727,-34.7012514317529,0,0,0,0,0,13.9411942490192,24.9013306359798,0
2017-11-05,138936951,6883.785714,0,0,0.79,0,128,0,0,35174,0,0.34072524657174,0.450075721622806,0.69,127.972486385649,-20.3873025026237,0,0,0,0,0,7.62247654536763,13.5757494801574,0
2017-11-12,138936951,6772.306122,0,0,0.79,0,201,0,0,11260,0,0.317844431757292,0.397604190491534,0.69,211.034187782087,-34.3957565415402,0,0,0,0,0,4.05586468106313,21.0123479885356,0
2017-11-19,138936951,6712.010204,0,0,0.79,0,150,0,0,42447,0,0.29610815306901,0.348773003311526,0.69,150.199457207286,-24.136656358656,0,0,0,0,0,10.8767930963802,13.9293896760274,0
2017-11-26,138936951,6632.091837,1,0,0.79,0.1,225,0,0,17876,0,0.27551959948151,0.30405586981595,0.69,205.675292466512,-31.5420457601183,29.5611083088911,0,0,0,0,6.09837596918542,17.4110145160574,0
2017-12-03,138936951,6553.765306,1,0,0.79,0,208,0,0,43517,0,0.256070521026969,0.263657442457701,0.69,210.538276881499,-34.2248898861428,0,0,0,0,0,15.7411313679091,16.9925360979609,0
2017-12-10,138936951,6488.877551,0,0,0.79,0,203,0,0,33577,0,0.237743088851629,0.227574369496805,0.69,210.348840280813,-34.5653339233551,0,0,0,0,0,12.1775214634331,15.8170508017247,0
2017-12-17,138936951,6408.908163,1,0,0.79,0,186,2e+05,0,25195,0,0.220511614527209,0.195653283517537,0.69,176.211730339248,-27.9777936158432,0,0,19.4765898889893,0,0,7.5561286126253,12.1686191389333,0
2017-12-24,138936951,6241.306122,1,0,0.79,0.1,193,2e+05,0,15925,0,0.204344112191846,0.167640991612962,0.69,163.979119755484,-24.2156932346786,23.2768971786145,0,17.5013794698209,0,0,4.23215900100568,10.0606015026824,0
