Name,Rank,Count,X..100K,X..White,X..Black,X..API,X..AIAN,X..2.or.More.Races,X..Hispanic.Origin,Rank.in.2000,Count.in.2000,Change.since.2000,X..Change,Rank.change,Cumulative.proportion...100.000,race
CHANDRASEKARAN,27845,862,0.29,1.28,,96.4,,1.74,0,57705,330,532,161.2%,29860,,asian
CHANDY,42511,510,0.17,3.53,,93.14,,1.57,1.18,52935,367,143,39.0%,10424,,asian
CHANEY,1059,33201,11.26,71.01,22.95,0.52,0.77,2.39,2.37,979,32433,768,2.4%,-80,,white
CHANG,391,81939,27.78,2.37,0.87,88.84,0.03,4.18,3.71,424,69756,12183,17.5%,33,,asian
CHANNELL,9765,3318,1.12,91.8,4.49,0.42,0.33,0.96,1.99,9387,3183,135,4.2%,-378,,white
CHANNING,43651,494,0.17,89.27,2.43,,,2.63,3.24,39304,527,-33,-6.3%,-4347,,white
CHANT,33856,672,0.23,84.67,,7.59,,2.83,4.17,31389,698,-26,-3.7%,-2467,,white
CHANTHAVONG,19933,1346,0.46,1.63,,92.27,,4.53,1.26,22555,1064,282,26.5%,2622,,asian
CHAO,3432,10398,3.52,3.67,0.18,86.7,0.05,2.96,6.43,3769,8633,1765,20.4%,337,,asian
CHAPA,2297,15865,5.38,8.15,0.39,0.69,0.43,0.16,90.17,2475,13370,2495,18.7%,178,,hispanic
CHAPARRO,5718,6066,2.06,4.95,0.36,0.08,0.31,0.15,94.15,6973,4431,1635,36.9%,1255,,hispanic
CHAPDELAINE,22906,1117,0.38,94.99,0,,,1.79,2.78,22174,1087,30,2.8%,-732,,white
CHAPEL,13300,2293,0.78,74.4,15.48,0.44,0.57,2.35,6.76,12692,2235,58,2.6%,-608,,white
CHAPELL,38389,577,0.2,79.9,15.77,,,1.91,1.56,42757,477,100,21.0%,4368,,white
CHAPIN,3510,10175,3.45,94.16,0.93,0.71,0.61,1.17,2.42,3206,10242,-67,-0.7%,-304,,white
CHAPLAIN,41164,529,0.18,88.66,7.75,,,1.89,1.51,40552,508,21,4.1%,-612,,white
CHAPLIN,5344,6513,2.21,74.59,20.51,0.66,0.4,1.81,2.03,5282,6063,450,7.4%,-62,,white
CHAPMAN,236,127939,43.37,79.51,14.62,0.57,0.81,2.03,2.47,218,124614,3325,2.7%,-18,,white
CHAPP,49671,397,0.15,93.2,,,,(S),5.29,,,,"",,82557.74,white
CHAPPEL,12333,2521,0.85,66.4,27.09,0.91,0.56,1.9,3.13,11012,2649,-128,-4.8%,-1321,,white
CHAPPELEAR,31790,726,0.25,96.69,,,,0.69,1.65,31621,691,35,5.1%,-169,,white
CHAPPELL,1516,23634,8.01,75.2,19.65,0.54,0.5,2.17,1.95,1419,23001,633,2.8%,-97,,white
CHAPPUIS,49249,401,0.15,96.26,,,0,1.25,1.5,,,,"",,82495.71,white
CHAPUT,13283,2296,0.78,93.9,0.52,0.7,0.22,1.83,2.83,12716,2230,66,3.0%,-567,,white
CHARANIA,42030,517,0.18,4.84,0.97,89.17,,3.87,,54152,357,160,44.8%,12122,,asian
CHARBONEAU,14184,2117,0.72,86.3,,,7.13,2.27,3.83,13912,1990,127,6.4%,-272,,white
CHARBONNEAU,7230,4617,1.57,92.57,0.35,0.63,2.12,2.1,2.23,6960,4443,174,3.9%,-270,,white
CHARBONNET,41657,522,0.18,72.8,17.05,1.72,0,3.07,5.36,42217,484,38,7.9%,560,,white
CHARD,18550,1487,0.5,92.06,0.94,1.01,0,0.87,5.11,16729,1574,-87,-5.5%,-1821,,white
CHAREST,13824,2187,0.74,95.47,,0.91,,1.42,1.46,12734,2226,-39,-1.8%,-1090,,white
CHARETTE,8032,4121,1.4,86.65,1.09,0.56,6.72,2.26,2.72,7892,3891,230,5.9%,-140,,white
CHARGOIS,40672,537,0.18,23.65,66.85,,,3.72,5.21,44027,461,76,16.5%,3355,,black
CHARITY,17428,1619,0.55,20.94,69.98,0.8,0.99,5.68,1.61,17895,1442,177,12.3%,467,,black
CHARLAND,14976,1974,0.67,93.21,0.41,0.66,0.66,1.52,3.55,14615,1867,107,5.7%,-361,,white
CHARLEBOIS,24914,998,0.34,96.49,,0.5,,0.8,1.8,24288,967,31,3.2%,-626,,white
CHARLESWORTH,16900,1685,0.57,94.12,0.59,0.3,0.83,2.02,2.14,16655,1583,102,6.4%,-245,,white
CHARLET,45735,440,0.16,93.18,3.64,1.59,,(S),,,,,"",,81947.06,white
CHARLOT,20047,1334,0.45,7.72,84.63,,,3.22,3.75,22688,1057,277,26.2%,2641,,black
CHARLSON,27354,883,0.3,91.73,1.93,,,2.83,2.38,23283,1021,-138,-13.5%,-4071,,white
CHARLTON,3383,10555,3.58,79.64,14.89,0.63,0.49,1.98,2.37,3334,9837,718,7.3%,-49,,white
CHARNEY,13893,2173,0.74,94.06,0.64,0.55,0.32,1.24,3.18,14778,1843,330,17.9%,885,,white
CHARNLEY,47308,422,0.16,96.21,,,0,1.9,,,,,"",,82198.82,white
CHARNOCK,40494,540,0.18,95,,,,1.11,3.15,37200,564,-24,-4.3%,-3294,,white
CHARO,34073,667,0.23,17.54,0.9,1.35,,(S),79.16,39560,523,144,27.5%,5487,,hispanic
CHARON,21403,1222,0.41,69.31,3.44,1.55,,(S),24.06,22304,1078,144,13.4%,901,,white
CHARPENTIER,11003,2891,0.98,89,3.7,0.86,1.21,1.76,3.46,10647,2758,133,4.8%,-356,,white
CHARRETTE,47838,416,0.15,86.78,,1.2,,1.68,8.41,,,,"",,82280.11,white
CHARRIER,39773,552,0.19,92.57,3.8,0,0,1.27,2.36,32094,678,-126,-18.6%,-7679,,white
CHARRON,7803,4241,1.44,92.05,0.87,0.94,0.31,2.03,3.8,7674,3999,242,6.1%,-129,,white
CHARTER,22260,1158,0.39,87.82,7.86,0.86,0.43,1.12,1.9,20413,1210,-52,-4.3%,-1847,,white
CHARTERS,24982,995,0.34,95.58,,0.6,,1.81,1.41,23638,1000,-5,-0.5%,-1344,,white
CHARTIER,6239,5479,1.86,94.03,0.93,0.6,0.4,1.53,2.5,6599,4738,741,15.6%,360,,white
CHARTRAND,14821,2001,0.68,92.15,,1.2,,2.7,3,14680,1857,144,7.8%,-141,,white
CHARVAT,30665,760,0.26,96.97,,0.66,,1.05,0.66,28790,778,-18,-2.3%,-1875,,white
CHASE,649,52481,17.79,81.84,11.39,0.72,1.47,2.07,2.5,606,50777,1704,3.4%,-43,,white
CHASON,18747,1464,0.5,87.36,1.64,0.61,0.82,1.02,8.54,19657,1269,195,15.4%,910,,white
CHASSE,11829,2646,0.9,95.43,0.72,0.6,0.3,1.25,1.7,11356,2548,98,3.8%,-473,,white
CHASTAIN,2637,13655,4.63,94.28,0.66,0.48,0.83,1.62,2.12,2469,13403,252,1.9%,-168,,white
CHASTEEN,8641,3805,1.29,95.64,0.68,0.39,0.74,1.39,1.16,8044,3802,3,0.1%,-597,,white
CHATELAIN,18018,1549,0.53,82.44,12.33,0.58,0.77,1.36,2.52,17566,1476,73,4.9%,-452,,white
CHATFIELD,10498,3057,1.04,81.19,12.14,0.65,1.34,2.32,2.36,10084,2947,110,3.7%,-414,,white
CHATHAM,8155,4066,1.38,87.41,5.95,1.28,0.61,1.99,2.75,7565,4054,12,0.3%,-590,,white
CHATMAN,2355,15473,5.25,14.38,79.18,0.28,0.22,3.66,2.29,2384,13935,1538,11.0%,29,,black
CHATMON,15669,1863,0.63,6.44,87.33,,,3.38,2.42,16092,1654,209,12.6%,423,,black
CHATTERJEE,13985,2155,0.73,4.36,,90.77,,3.57,0.93,20629,1193,962,80.6%,6644,,asian
CHATTERTON,13195,2316,0.79,93.57,0.95,,,1.21,3.63,12598,2255,61,2.7%,-597,,white
CHATTIN,24499,1021,0.35,90.4,2.35,,4.41,(S),1.47,23072,1034,-13,-1.3%,-1427,,white
CHATURVEDI,40672,537,0.18,2.98,,96.09,0,(S),,65133,285,252,88.4%,24461,,asian
CHATWIN,32365,711,0.24,94.09,,,0,1.55,3.52,35239,605,106,17.5%,2874,,white
CHAU,2181,16667,5.65,1.64,,94.44,,1.83,1.91,2498,13238,3429,25.9%,317,,asian
CHAUCA,37391,596,0.2,3.86,,,0,0,95.47,47654,418,178,42.6%,10263,,hispanic
CHAUCA,47654,418,0.15,3.35,0,,,0,95.22,,,,"",,82251.95,hispanic
CHAUDHARI,19911,1348,0.46,1.85,,94.88,,2.67,,33933,633,715,113.0%,14022,,asian
CHAUDHARY,11443,2752,0.93,3.45,,91.61,,3.74,0.91,18588,1368,1384,101.2%,7145,,asian
CHAUDHRY,5697,6084,2.06,4.22,0.41,90.57,0.13,3.14,1.53,8289,3675,2409,65.6%,2592,,asian
CHAUDHURI,33087,692,0.23,4.91,,90.03,,2.46,1.45,46839,427,265,62.1%,13752,,asian
CHAUDHURI,46839,427,0.16,5.39,,88.99,,3.75,,,,,"",,82124.8,asian
CHAUDOIN,36337,616,0.21,91.56,,,2.6,2.76,2.76,38587,539,77,14.3%,2250,,white
CHAUDRY,28777,827,0.28,7.74,4.59,77.27,0,7.5,2.9,35342,603,224,37.1%,6565,,asian
CHAUHAN,10731,2975,1.01,2.66,0.27,93.28,0.27,3.06,0.47,17510,1483,1492,100.6%,6779,,asian
CHAUNCEY,19796,1359,0.46,89.26,6.55,,,1.55,1.55,18701,1357,2,0.1%,-1095,,white
CHAUSSE,38155,581,0.2,94.32,0,,,0.86,3.61,37534,558,23,4.1%,-621,,white
CHAUVIN,8246,4018,1.36,94.5,0.85,0.6,0.72,0.92,2.41,7914,3881,137,3.5%,-332,,white
CHAVAN,40082,547,0.19,12.25,,83.18,,1.28,2.74,81700,215,332,154.4%,41618,,asian
CHAVANA,37229,599,0.2,8.68,0,,,(S),90.48,40397,510,89,17.5%,3168,,hispanic
CHAVARIN,13099,2341,0.79,2.22,,0,0,(S),97.57,15725,1705,636,37.3%,2626,,hispanic
CHAVARRIA,1953,18492,6.27,4.81,0.46,0.28,0.59,0.26,93.59,2534,13093,5399,41.2%,581,,hispanic
CHAVERA,36900,605,0.21,7.44,,0,,0,91.9,33471,643,-38,-5.9%,-3429,,hispanic
CHAVERO,27918,859,0.29,2.91,,,0,0,96.86,42217,484,375,77.5%,14299,,hispanic
CHAVEZ,83,250898,85.06,5.02,0.21,0.65,0.94,0.23,92.96,118,185865,65033,35.0%,35,,hispanic
CHAVIANO,35057,643,0.22,4.2,0,,,(S),95.18,48109,413,230,55.7%,13052,,hispanic
CHAVIANO,48109,413,0.15,10.17,0,0,0,0,89.83,,,,"",,82323.63,hispanic
CHAVIRA,4135,8573,2.91,4.08,0.09,0.27,0.13,0.13,95.3,4961,6507,2066,31.8%,826,,hispanic
CHAVOLLA,34032,668,0.23,2.1,,,,0,96.86,43955,462,206,44.6%,9923,,hispanic
CHAVOYA,34427,658,0.22,9.57,,,,(S),89.21,39052,531,127,23.9%,4625,,hispanic
CHAWLA,13612,2226,0.75,4.27,,92.14,,2.16,1.12,18582,1369,857,62.6%,4970,,asian
CHE,12865,2393,0.81,2.3,8.36,78.56,0.21,2.26,8.32,17363,1500,893,59.5%,4498,,asian
CHEA,7411,4492,1.52,3.05,6.3,83.57,0.16,2.69,4.23,8850,3404,1088,32.0%,1439,,asian
CHEATOM,42640,508,0.17,7.28,85.24,0,0,5.12,2.36,43955,462,46,10.0%,1315,,black
CHEATWOOD,15080,1956,0.66,83.84,5.57,0.26,4.09,4.09,2.15,14302,1921,35,1.8%,-778,,white
CHECK,12229,2545,0.86,79.61,1.41,1.69,,(S),15.95,13012,2160,385,17.8%,783,,white
CHECKETTS,30665,760,0.26,96.71,,,0,1.32,1.58,34630,618,142,23.0%,3965,,white
CHECO,25793,955,0.32,3.77,,,,(S),94.97,21716,1118,-163,-14.6%,-4077,,hispanic
CHEEK,2273,16020,5.43,79.86,14.03,0.56,1.33,2.15,2.07,2140,15566,454,2.9%,-133,,white
CHEEKS,7964,4155,1.41,21.4,73.07,0.29,0.22,3.35,1.68,8106,3769,386,10.2%,142,,black
CHEELY,34801,649,0.22,76.73,19.57,,,1.39,1.85,36328,582,67,11.5%,1527,,white
CHEEMA,12312,2525,0.86,3.88,0.55,90.97,0.24,2.69,1.66,17899,1441,1084,75.2%,5587,,asian
CHEESE,46839,427,0.16,20.37,73.54,,,3.28,2.11,,,,"",,82124.96,black
CHEESEBORO,33856,672,0.23,1.49,92.26,,,3.27,2.68,43955,462,210,45.5%,10099,,black
CHEESEMAN,13271,2298,0.78,89.69,3.87,0.61,0.65,1.74,3.44,12893,2188,110,5.0%,-378,,white
CHEESMAN,14783,2008,0.68,90.64,2.04,1.94,0.35,2.19,2.84,13748,2021,-13,-0.6%,-1035,,white
CHEETHAM,34668,652,0.22,92.33,2.15,,,1.38,3.68,36045,588,64,10.9%,1377,,white
CHEEVER,13657,2217,0.75,88.18,5.64,0.77,0.9,1.67,2.84,12929,2179,38,1.7%,-728,,white
CHEEVERS,49767,396,0.15,83.08,12.88,,0,(S),3.54,,,,"",,82571.42,white
CHELETTE,28940,821,0.28,91.72,3.17,0,1.1,2.19,1.83,27150,838,-17,-2.0%,-1790,,white
CHELF,31629,731,0.25,94.25,1.64,,,1.09,2.33,31167,704,27,3.8%,-462,,white
CHEN,150,169580,57.49,1.4,0.3,96.12,0.02,1.64,0.52,260,105544,64036,60.7%,110,,asian
CHENARD,34314,661,0.22,92.13,,0.91,,1.21,5.14,33169,650,11,1.7%,-1145,,white
CHENAULT,7760,4278,1.45,68.3,26.02,0.51,0.26,2.78,2.13,7509,4089,189,4.6%,-251,,white
CHENETTE,43206,500,0.17,94.4,,,,1.8,1.8,40690,506,-6,-1.2%,-2516,,white
CHENEVERT,19041,1430,0.48,73.78,21.26,,,2.38,2.1,18364,1391,39,2.8%,-677,,white
CHENEY,2655,13573,4.6,90.17,3.16,0.83,1.51,1.93,2.4,2563,12970,603,4.6%,-92,,white
CHENG,1063,32982,11.18,1.86,0.2,94.63,0.03,2.22,1.06,1238,26023,6959,26.7%,175,,asian
CHENNAULT,28909,822,0.28,73.84,17.4,0.85,0.97,2.07,4.87,29142,766,56,7.3%,233,,white
CHENOWETH,7160,4673,1.58,93.86,0.9,0.66,0.73,1.31,2.55,6638,4699,-26,-0.6%,-522,,white
CHEON,35016,644,0.22,6.52,,92.24,0,(S),0.78,51680,378,266,70.4%,16664,,asian
CHEONG,17072,1663,0.56,2.95,,89.84,,3.85,1.98,19174,1310,353,26.9%,2102,,asian
CHERAMIE,13903,2172,0.74,95.07,,,1.98,0.97,1.8,13896,1993,179,9.0%,-7,,white
CHERENFANT,42094,516,0.17,1.74,93.6,,,1.55,2.52,57090,334,182,54.5%,14996,,black
CHERIAN,14485,2061,0.7,3.25,0.49,92.48,0.44,2.43,0.92,18345,1393,668,48.0%,3860,,asian
CHERMAK,35622,631,0.21,95.72,0,,,(S),3.49,34554,620,11,1.8%,-1068,,white
CHERN,42511,510,0.17,31.18,,66.47,0,1.57,,38771,536,-26,-4.9%,-3740,,asian
CHERNE,46000,437,0.16,92.45,,2.06,,3.89,1.37,,,,"",,81990.49,white
CHERNEY,17764,1577,0.53,95.94,,0.51,,1.08,1.9,15364,1754,-177,-10.1%,-2400,,white
CHERNICK,43732,493,0.17,97.16,,0,0,(S),2.43,39499,524,-31,-5.9%,-4233,,white
CHERNOFF,27481,877,0.3,91.56,0.8,0.68,0.91,2.28,3.76,26104,882,-5,-0.6%,-1377,,white
CHERNY,49057,403,0.15,94.29,,,,2.23,1.74,,,,"",,82465.88,white
CHERRINGTON,26853,905,0.31,83.87,12.82,,,1.44,1.55,27258,834,71,8.5%,405,,white
CHERUBIN,30101,779,0.26,14.12,80.23,0.64,0,2.57,2.44,39111,530,249,47.0%,9010,,black
CHERUBINI,47838,416,0.15,94.47,0,,0,(S),4.33,,,,"",,82280.26,white
CHERUKURI,38214,580,0.2,1.72,,94.48,,2.93,0,83965,208,372,178.8%,45751,,asian
CHERY,8232,4027,1.37,3.4,91.06,0.99,0.2,1.64,2.71,11523,2504,1523,60.8%,3291,,black
CHESBRO,42030,517,0.18,91.49,,,1.55,2.9,2.51,38079,547,-30,-5.5%,-3951,,white
CHESEBRO,27707,868,0.29,94.01,,1.27,,2.53,1.84,28648,783,85,10.9%,941,,white
CHESHIER,25115,988,0.33,86.03,8.4,,,1.01,3.85,24529,955,33,3.5%,-586,,white
CHESHIRE,10334,3117,1.06,93.81,1.64,0.48,0.38,1.64,2.05,9997,2975,142,4.8%,-337,,white
CHESLER,34878,647,0.22,94.13,,0.93,,1.39,3.09,30120,734,-87,-11.9%,-4758,,white
CHESLEY,10871,2931,0.99,78.34,15.05,0.65,1.16,2.08,2.73,10779,2717,214,7.9%,-92,,white
CHESLOCK,35671,630,0.21,96.83,,,,0.79,1.27,39240,528,102,19.3%,3569,,white
CHESMORE,46331,433,0.16,90.99,0,3.7,0,2.08,3.23,,,,"",,82043.42,white
CHESNEY,7413,4491,1.52,87.8,6.9,0.67,0.16,2,2.47,7258,4239,252,5.9%,-155,,white
CHESNUT,9652,3362,1.14,93.63,2.14,0.51,0.54,1.13,2.05,8956,3357,5,0.1%,-696,,white
CHESNUTT,28176,849,0.29,92.7,3.42,0.82,0,0.94,2.12,26807,853,-4,-0.5%,-1369,,white
CHESS,16481,1743,0.59,68.27,27.14,0.75,0.4,1.78,1.66,14755,1846,-103,-5.6%,-1726,,white
CHESSER,6047,5675,1.92,92.88,2.71,0.26,0.62,1.44,2.08,5719,5557,118,2.1%,-328,,white
CHESTER,2408,15066,5.11,66.05,27.12,0.82,1.69,2.25,2.08,2281,14595,471,3.2%,-127,,white
CHEUNG,1920,18765,6.36,1.8,0.24,95.13,0.03,2.03,0.77,2069,16067,2698,16.8%,149,,asian
CHEUVRONT,35447,635,0.22,96.85,,0,,1.42,1.57,34856,613,22,3.6%,-591,,white
CHEVALIER,5412,6431,2.18,72.31,14.46,0.59,1.17,2.39,9.08,5426,5905,526,8.9%,14,,white
CHEVERE,30735,758,0.26,6.86,0.79,0,,(S),91.56,37094,566,192,33.9%,6359,,hispanic
CHEVES,41501,524,0.18,72.52,6.87,0,1.53,1.34,17.75,40139,514,10,1.9%,-1362,,white
CHEVEZ,15625,1870,0.63,3.74,1.07,0.37,,(S),94.44,19852,1253,617,49.2%,4227,,hispanic
CHEVIS,45829,439,0.16,17.08,78.36,,,1.37,2.73,,,,"",,81961.57,black
CHEWNING,12452,2493,0.85,94.06,2.49,0.28,0.32,1.44,1.4,11287,2570,-77,-3.0%,-1165,,white
CHEYNE,26549,918,0.31,93.36,,,0.65,1.31,4.03,27595,822,96,11.7%,1046,,white
CHEYNEY,45573,442,0.16,92.31,,,2.71,1.81,1.36,,,,"",,81920.4,white
CHHABRA,22770,1125,0.38,4.18,0.53,91.2,0.71,2.67,0.71,33206,649,476,73.3%,10436,,asian
CHHAY,22113,1170,0.4,1.11,,94.87,,2.22,1.62,28700,781,389,49.8%,6587,,asian
CHHENG,42790,506,0.17,1.38,,94.47,0,3.56,,52827,368,138,37.5%,10037,,asian
CHHETRI,30916,752,0.25,1.73,,94.41,,2.39,0.93,,,752,#DIV/0!,-30916,,asian
CHHIM,29138,813,0.28,2.34,,93.6,,1.85,1.6,35387,602,211,35.0%,6249,,asian
CHHUN,29171,812,0.28,1.23,,94.58,,3.2,0.86,37534,558,254,45.5%,8363,,asian
CHI,4843,7273,2.47,2.98,,84.11,,2.76,8.22,5561,5735,1538,26.8%,718,,asian
CHIA,16450,1748,0.59,4.58,2.23,68.54,0.63,2.4,21.62,17530,1481,267,18.0%,1080,,asian
CHIANESE,35147,641,0.22,94.85,,,0,2.03,2.34,33933,633,8,1.3%,-1214,,white
CHIANG,4022,8841,3,2.44,0.14,90.45,0,3.22,3.74,4479,7290,1551,21.3%,457,,asian
CHIAO,36204,619,0.21,3.55,0,94.02,,1.78,,39824,519,100,19.3%,3620,,asian
CHIAPPETTA,18899,1445,0.49,95.16,,0.35,,0.35,4.01,18802,1347,98,7.3%,-97,,white
CHIAPPONE,37492,594,0.2,92.93,,0,,0.84,5.56,34949,611,-17,-2.8%,-2543,,white
CHIARA,41728,521,0.18,91.55,,1.73,,(S),5.37,38141,546,-25,-4.6%,-3587,,white
CHIARAMONTE,20648,1282,0.43,92.28,,0.78,,0.94,5.23,20528,1201,81,6.7%,-120,,white
CHIARELLA,34574,654,0.22,88.53,,,0,1.38,9.63,35053,609,45,7.4%,479,,white
CHIARELLI,34223,663,0.22,94.87,,,0,(S),3.92,30061,736,-73,-9.9%,-4162,,white
CHIARELLO,18778,1460,0.49,94.32,,0.48,,0.82,3.9,18057,1424,36,2.5%,-721,,white
CHIARO,46083,436,0.16,94.95,0,,,(S),3.67,,,,"",,82002.96,white
CHIARO,42308,513,0.17,92.4,,1.36,,1.17,3.51,46083,436,77,17.7%,3775,,white
CHIASSON,9301,3499,1.19,95.68,0.63,0.34,0.31,1,2.03,8861,3399,100,2.9%,-440,,white
CHICA,21736,1197,0.41,6.1,,0.58,,0,92.73,24701,947,250,26.4%,2965,,hispanic
CHICAS,7677,4324,1.47,2.57,0.32,0.21,,(S),96.79,11794,2433,1891,77.7%,4117,,hispanic
CHICHESTER,16349,1762,0.6,73.89,19.92,1.02,0.34,1.76,3.06,15731,1704,58,3.4%,-618,,white
CHICK,7377,4517,1.53,84.22,4.32,2.46,0.44,2.06,6.51,7433,4130,387,9.4%,56,,white
CHICKERING,29334,806,0.27,94.17,,1.36,,2.61,1.74,28460,789,17,2.2%,-874,,white
CHICO,9788,3308,1.12,13.6,0.54,8.43,5.02,1.03,71.37,11774,2436,872,35.8%,1986,,hispanic
CHICOINE,17789,1574,0.53,95.43,0.57,,,1.65,1.84,17186,1520,54,3.6%,-603,,white
CHIDESTER,10724,2979,1.01,93.19,1.14,0.57,0.74,1.95,2.42,10615,2770,209,7.5%,-109,,white
CHIEFFO,42511,510,0.17,96.67,,,0,0.98,1.96,44273,458,52,11.4%,1762,,white
CHIEM,32750,701,0.24,0.71,,97.86,0,0.86,,34038,631,70,11.1%,1288,,asian
CHIEN,8732,3756,1.27,3.78,0.35,91.99,0,2.8,1.09,9257,3239,517,16.0%,525,,asian
CHIESA,23515,1080,0.37,85.56,,0.46,,0.46,13.06,23428,1012,68,6.7%,-87,,white
CHIHUAHUA,45078,448,0.17,,,0,3.57,0,95.98,,,,"",,81838.87,hispanic
CHIHUAHUA,31150,745,0.25,2.95,0,0,1.21,0,95.84,45078,448,297,66.3%,13928,,hispanic
CHILCOAT,25003,994,0.34,94.57,0.5,,,2.72,1.51,23350,1016,-22,-2.2%,-1653,,white
CHILCOTE,15183,1940,0.66,94.59,,,0.88,1.03,2.84,14195,1941,-1,-0.1%,-988,,white
CHILCOTT,34427,658,0.22,93.16,2.28,1.22,,(S),1.98,33830,635,23,3.6%,-597,,white
CHILCUTT,34916,646,0.22,92.72,,,0.93,1.86,3.1,35153,607,39,6.4%,237,,white
CHILD,6483,5237,1.78,85.43,5.04,1.37,0.84,1.64,5.67,6580,4750,487,10.3%,97,,white
CHILDERS,1150,30570,10.36,90.25,4.01,0.51,0.98,1.86,2.39,1063,30079,491,1.6%,-87,,white
CHILDREE,33596,678,0.23,96.02,1.47,,0,(S),1.33,32743,661,17,2.6%,-853,,white
CHILDRES,30390,769,0.26,80.36,14.43,,,2.21,2.34,28912,774,-5,-0.6%,-1478,,white
CHILDRESS,1424,24937,8.45,78.33,16.39,0.44,0.54,2.14,2.16,1324,24485,452,1.8%,-100,,white
CHILEL,36525,612,0.21,0.82,0,0,0,0,99.18,129619,121,491,405.8%,93094,,hispanic
CHILL,36286,617,0.21,87.36,3.24,,,2.76,4.86,42529,480,137,28.5%,6243,,white
CHILLEMI,35721,629,0.21,97.14,,,0,(S),2.23,33292,647,-18,-2.8%,-2429,,white
CHILSON,10265,3140,1.06,92.36,1.37,0.7,0.73,2.01,2.83,10097,2943,197,6.7%,-168,,white
CHILTON,5551,6263,2.12,85.9,7.04,0.46,1.29,2.46,2.84,5257,6096,167,2.7%,-294,,white
CHIM,27376,882,0.3,3.97,1.36,79.25,0,2.15,13.27,28674,782,100,12.8%,1298,,asian
CHIMAL,41799,520,0.18,,,,2.31,0,95.96,61058,308,212,68.8%,19259,,hispanic
CHIMBO,43077,502,0.17,1.59,,,0,(S),97.61,88083,196,306,156.1%,45006,,hispanic
CHIMENTI,39773,552,0.19,94.75,,,0,(S),4.17,39240,528,24,4.5%,-533,,white
CHIMENTO,32438,709,0.24,93.94,0,,,0.71,5.08,32161,676,33,4.9%,-277,,white
CHIN,1279,27487,9.32,5.9,6.74,76.08,0.09,8.12,3.06,1255,25673,1814,7.1%,-24,,asian
CHINCHILLA,9165,3561,1.21,6.21,0.37,0.28,,(S),92.98,13347,2094,1467,70.1%,4182,,hispanic
CHINEA,38103,582,0.2,8.76,,0,0,(S),90.21,44654,453,129,28.5%,6551,,hispanic
CHINEN,31629,731,0.25,4.1,0,74.83,0,15.87,5.2,31563,693,38,5.5%,-66,,asian
CHING,4772,7417,2.51,9.38,1.39,67.12,0.12,16.03,5.96,4683,6919,498,7.2%,-89,,asian
CHIODO,15727,1854,0.63,95.58,,0.86,,0.86,2.54,14599,1870,-16,-0.9%,-1128,,white
CHIOU,25725,958,0.32,1.98,0,92.07,0,5.22,0.73,26566,863,95,11.0%,841,,asian
CHIPLEY,43206,500,0.17,87.8,5,,2,(S),2.8,38524,540,-40,-7.4%,-4682,,white
CHIPMAN,6866,4899,1.66,93.75,2.41,0.47,0.24,1.25,1.88,6588,4744,155,3.3%,-278,,white
CHIPPS,18928,1442,0.49,89.6,2.77,,2.98,(S),2.64,18822,1345,97,7.2%,-106,,white
CHIQUITO,25725,958,0.32,4.07,,0.63,20.88,(S),73.9,32059,679,279,41.1%,6334,,hispanic
CHIRCO,36379,615,0.21,94.47,,,0,0.81,4.55,36276,583,32,5.5%,-103,,white
CHIRIBOGA,29719,792,0.27,12.5,,,0,(S),86.99,35053,609,183,30.0%,5334,,hispanic
CHIRICO,18757,1462,0.5,94.39,,0.75,,1.71,2.8,16194,1641,-179,-10.9%,-2563,,white
CHIRINO,18090,1540,0.52,3.96,,,0,(S),95.65,29040,769,771,100.3%,10950,,hispanic
CHIRINOS,15140,1948,0.66,5.24,0.41,0.41,,(S),93.53,25775,897,1051,117.2%,10635,,hispanic
CHISENHALL,45308,445,0.16,96.4,0,,1.12,1.35,,,,,"",,81876.46,white
CHISLEY,39352,559,0.19,3.4,88.55,,0,7.16,,34757,615,-56,-9.1%,-4595,,black
CHISMAR,40976,532,0.18,96.05,,,0,0.94,2.63,40690,506,26,5.1%,-286,,white
CHISOLM,7508,4435,1.5,23.13,71.41,0.27,0.36,2.73,2.1,7642,4012,423,10.5%,134,,black
CHISUM,16457,1747,0.59,82.43,10.25,0.69,1.77,1.89,2.98,16010,1665,82,4.9%,-447,,white
CHITTENDEN,14979,1973,0.67,94.63,0.51,0.66,0.51,1.98,1.72,13748,2021,-48,-2.4%,-1231,,white
CHITTICK,33856,672,0.23,93.01,3.13,,,1.64,1.79,31848,685,-13,-1.9%,-2008,,white
CHITTUM,16953,1677,0.57,95.77,0.54,0.72,0.48,0.78,1.73,16977,1544,133,8.6%,24,,white
CHITTY,15912,1826,0.62,79.79,10.51,3.94,0.99,2.14,2.63,15509,1733,93,5.4%,-403,,white
CHITWOOD,5386,6461,2.19,94.63,0.62,0.5,0.79,1.67,1.8,5093,6324,137,2.2%,-293,,white
CHIU,2735,13174,4.47,2.33,,92.11,,2.28,3.17,2920,11321,1853,16.4%,185,,asian
CHIUSANO,39164,562,0.19,94.84,0.89,,,1.07,2.67,40690,506,56,11.1%,1526,,white
CHIVERS,18262,1521,0.52,71.53,21.56,0.53,1.25,2.1,3.02,17316,1505,16,1.1%,-946,,white
CHIZEK,40672,537,0.18,96.46,0,,,1.49,1.49,40465,509,28,5.5%,-207,,white
