node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46524-07F,55297-54,0,0,1,1,1,1505058.4,.5,0,1,0,1,0,1,2010,-105.21928,40.044384,4,2,4,Out of business
46524-07F,53940-79,0,0,1,1,3,48785.207,0,0,1,0,1,0,1,2012,-122.3957,37.789227,8,3,6,Startup
46524-07F,55775-80,0,0,1,0,4,22445.182,.5,0,.5,0,1,0,1,2013,-121.96066,37.393242,111,14,26,Generating revenue
46532-80F,57849-76,0,0,0,1,6,96917.703,0,0,1,0,1,0,0,2013,-73.216331,41.163597,28,22,28,Generating revenue
46532-80F,57090-16,0,0,1,1,6,12318.797,0,0,1,0,1,0,0,2013,-72.726418,41.832798,28,22,28,Startup
46532-80F,54300-70,0,0,1,1,7,63946.125,0,0,.5,7,1,0,0,2014,-72.858971,41.378448,30,10,64,Generating revenue
46532-80F,98814-34,16,.34782609,1,0,2,121950.23,.5,0,1,5,1,0,0,2018,-73.53688,41.047997,46,4,14,Generating revenue
46532-80F,227189-62,16,.34782609,.5,1,7,87727.281,0,0,1,0,1,0,0,2018,-73.212273,41.25613,46,4,14,Not profitable
46535-68F,54917-65,0,0,0,1,0,421681.34,0,0,.5,0,1,0,0,2007,-71.188087,42.354729,2,2,2,Generating revenue
46535-86F,121034-89,0,0,1,1,2,611586.5,0,0,0,0,1,0,1,2016,-115.26791,36.167732,34,3,5,Generating revenue
46535-86F,105769-81,0,0,1,0,2,2343831.3,0,0,0,0,1,0,1,2016,-96.70916,32.948975,34,6,10,Generating revenue
46537-66F,54917-65,0,0,0,1,0,421681.34,0,0,.5,0,1,0,0,2007,-71.188087,42.354729,2,2,2,Generating revenue
46555-75F,52605-46,0,0,.66666669,0,0,29006.133,0,0,.66666669,3,1,0,0,2014,-77.101852,38.99976,5,6,12,Exit
46564-66F,54235-63,0,0,1,1,9,1109030,0,0,1,0,1,0,0,2005,-122.32855,47.60252,28,7,26,Exit
46564-66F,55287-55,0,0,1,1,10,40099.219,0,0,1,0,1,0,0,2006,-122.00838,37.406288,33,4,28,Out of business
