q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
0,,,,0,0,0,0,0,0,0,Female,65+,Advanced or professional degree,,,African American,,,,,No,No,Prefer not to answer,30311,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$50k-$74,999",,0,0,0,1
1,1,Role playing game,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,No,No,"$25k-$49,999",29643,0,0,1,0
0,,Sports,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,Yes,Yes,"$150k-$249,999",30144,0,0,0,1
0,,,,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,No,No,"$150k-$249,999",30339,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Some college,White,,,,,,,No,No,"$50k-$74,999",30214,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,30308,0,0,1,0
0,,,5,0,0,0,0,0,0,0,Male,65+,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30064,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30097,1,0,0,0
2,1,Sports,5,4,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30152,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30005,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30011,1,0,0,0
