q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
1,0,Real-time strategy,1,0,0,0,0,0,0,0,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",,0,0,0,1
,,,,,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",,0,0,0,0
4,2,Real-time strategy,2,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,No,No,Less than $25k,30341,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30043,0,0,1,0
5,0,Other,1,4,1,0,0,0,1,1,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30319,0,1,0,0
0,,,3,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,Yes,"$150k-$249,999",30017,1,0,0,0
0,,Sports,,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,30327,1,0,0,0
0,,,,5,0,0,0,0,1,0,Female,65+,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,Yes,No,Prefer not to answer,30126,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,,,African American,,,,,Yes,No,"$150k-$249,999",30014,0,0,0,1
2,2,Sports,4,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,Yes,Yes,"$150k-$249,999",30144,0,0,1,0
1,1,Real-time strategy,5,4,1,0,0,1,1,0,Female,35-44,Some college,White,,,,,,,Yes,Yes,"$75k-$99,999",30132,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",30041,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30116,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,1,Other,,0,0,0,0,0,0,0,Female,65+,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",30068,0,0,0,1
2,1,First-person shooters,2,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30127,0,0,1,0
1,0,Role playing game,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30338,0,0,0,1
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,No,Yes,"$75k-$99,999",30331,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
1,1,Sports,2,1,0,0,0,0,1,1,Male,55-64,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30135,0,0,1,0
2,1,First-person shooters,2,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,"$100k-$149,999",30306,0,0,1,0
0,,Other,2,1,0,0,0,0,1,0,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,,1,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30076,0,0,0,1
1,0,Sports,,0,0,0,0,0,0,0,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30345,0,1,0,0
1,0,Sports,5,5,1,0,0,0,1,0,Male,35-44,Some college,,Hispanic,,,,,,Yes,Yes,"$150k-$249,999",30075,1,0,0,0
1,0,Sports,3,1,1,0,0,0,1,0,Male,35-44,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30213,0,0,1,0
3,2,Multiplayer online battle arena (MOBA),,0,0,0,0,0,0,0,Male,55-64,Some college,White,,,,,,,No,No,"$100k-$149,999",30324,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,65+,High school diploma,White,,,,,,,No,No,"$75k-$99,999",31005,1,0,0,0
0,,First-person shooters,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,No,No,"$150k-$249,999",30318,0,0,0,1
3,1,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30024,0,1,0,0
4,1,Role playing game,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30117,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,,,,Asian,,,,Yes,Yes,$250k or more,30152,0,0,0,0
1,0,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,,Yes,"$50k-$74,999",30033,0,0,0,0
0,,,,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,,,African American,,,,,Yes,No,Prefer not to answer,,0,0,0,0
0,,Racing,1,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30058,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,,,,Other,,Yes,Yes,"$75k-$99,999",30228,0,0,1,0
4,1,Sports,5,2,1,0,0,0,0,0,Male,Under 25,High school diploma,,Hispanic,,,,,,No,No,"$75k-$99,999",37412,0,0,1,0
4,2,Real-time strategy,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,Yes,No,"$100k-$149,999",30122,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,4,3,1,0,0,1,1,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30039,0,0,0,0
0,,Other,3,1,1,1,0,0,1,0,Female,Under 25,Bachelors degree,,Hispanic,,,,,,Yes,No,"$25k-$49,999",,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
4,1,Other,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,,,African American,,,,,Yes,No,"$100k-$149,999",30097,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,45-54,High school diploma,,,African American,,,,,No,No,"$25k-$49,999",30213,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,45-54,High school diploma,,,African American,,,,,No,No,"$100k-$149,999",30008,0,0,0,1
4,3,Sports,5,1,1,0,0,0,0,0,Male,25-34,Technical degree,,,African American,,,,,No,Yes,"$50k-$74,999",30310,0,0,1,0
0,,Other,1,0,0,0,0,0,0,0,Female,Under 25,Some college,,Hispanic,,,,,,No,No,Less than $25k,31207,1,0,0,0
2,1,Sports,5,0,0,0,0,0,0,0,Male,65+,Advanced or professional degree,,,African American,,,,,Yes,No,"$100k-$149,999",30127,1,0,0,0
0,,Sports,5,5,0,0,0,0,1,0,Male,35-44,Advanced or professional degree,,Hispanic,,,,,,Yes,Yes,"$25k-$49,999",30005,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
3,0,Role playing game,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30307,0,0,0,1
5,2,Sports,3,1,1,0,0,0,1,0,Male,25-34,Some college,,,African American,,,,,Yes,Yes,"$100k-$149,999",31907,0,0,0,1
0,,Real-time strategy,1,1,0,0,0,0,1,0,Female,25-34,Bachelors degree,White,,,,,,,No,No,"$50k-$74,999",30318,0,0,1,0
1,1,Other,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30016,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
3,2,First-person shooters,5,3,0,1,0,0,0,1,Male,Under 25,Bachelors degree,,,African American,,,,,No,Yes,"$75k-$99,999",30268,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$75k-$99,999",31069,1,0,0,0
1,1,Sports,,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$150k-$249,999",30058,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,Under 25,Bachelors degree,White,,African American,,,,,No,No,"$25k-$49,999",30326,0,0,0,1
1,1,Sports,3,1,1,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,No,No,"$150k-$249,999",30305,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
6,2,First-person shooters,4,3,0,1,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,Yes,"$75k-$99,999",30127,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
3,1,Sports,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,No,No,"$75k-$99,999",30309,0,0,1,0
4,4,Sports,3,0,0,0,0,0,0,0,Male,Under 25,High school diploma,,,African American,,,,,No,No,"$50k-$74,999",30281,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Some college,,,African American,,,,,Yes,No,"$100k-$149,999",30078,0,0,1,0
5,3,Sports,4,4,1,0,0,1,1,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$75k-$99,999",30114,0,0,1,0
3,1,First-person shooters,3,5,0,0,0,0,1,0,Male,35-44,Technical degree,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,"$75k-$99,999",30253,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,Yes,Prefer not to answer,30126,0,0,0,1
1,0,Sports,5,5,1,0,0,1,1,0,Female,25-34,Bachelors degree,,,African American,,,,,No,Yes,"$25k-$49,999",30312,1,0,0,0
3,0,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,,,Asian,Eastern Indian,,,Yes,Yes,Prefer not to answer,,1,0,0,0
1,1,Sports,2,1,0,1,0,0,0,0,Male,Under 25,Bachelors degree,White,,African American,,,,,No,No,Prefer not to answer,30518,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,Under 25,Some college,,,African American,,,,Exclusive / Prefer not to answer,No,No,"$25k-$49,999",30349,1,0,0,0
3,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
4,2,Sports,5,4,0,0,0,0,1,0,Male,35-44,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30324,1,0,0,0
0,,First-person shooters,3,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30189,1,0,0,0
0,,Other,,4,1,0,0,0,1,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,Yes,"$25k-$49,999",30236,1,0,0,0
4,1,Sports,4,3,0,0,0,0,1,0,Female,55-64,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$150k-$249,999",30311,1,0,0,0
0,,Sports,2,1,0,0,0,0,1,0,Female,45-54,Bachelors degree,,,African American,,,,,No,Yes,Prefer not to answer,30045,1,0,0,0
1,0,Multiplayer online battle arena (MOBA),3,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30126,1,0,0,0
5,3,Fighting,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,No,Yes,"$25k-$49,999",30093,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
2,0,Multiplayer online battle arena (MOBA),5,0,0,0,0,0,0,0,Male,35-44,Some college,,Hispanic,,,,,,No,Yes,"$50k-$74,999",30721,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,Sports,3,1,0,0,0,0,1,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30736,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,,1,5,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,0,1
1,1,Sports,3,1,0,0,0,0,1,0,Male,Prefer not to answer,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,Yes,No,"$150k-$249,999",30294,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,2,0,0,0,0,0,0,0,Female,55-64,Technical degree,,,African American,,,,,No,No,"$25k-$49,999",,1,0,0,0
3,0,Sports,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,,,,Asian,,,,No,No,"$25k-$49,999",30318,1,0,0,0
1,0,Other,1,0,0,0,0,0,0,0,Male,55-64,Prefer not to answer,,,,,,,,No,No,Prefer not to answer,30134,1,0,0,0
5,0,First-person shooters,1,0,0,0,0,0,0,0,Male,Under 25,Some college,White,,,,,,,No,No,"$50k-$74,999",30542,0,0,1,0
3,2,First-person shooters,2,0,0,0,0,0,0,0,Male,Under 25,Bachelors degree,White,Hispanic,,,,,,No,No,$250k or more,30075,0,0,1,0
2,1,Sports,2,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,,,African American,,,,,No,No,"$75k-$99,999",30122,0,0,1,0
0,,Other,1,4,0,0,0,0,1,0,Male,35-44,Some college,,,African American,,,,,Yes,No,Prefer not to answer,30294,1,0,0,0
3,1,Role playing game,1,0,0,0,0,0,0,0,Female,35-44,Some college,White,,,,,,,No,Yes,Less than $25k,30147,0,0,1,0
0,,,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
1,1,Sports,3,1,0,0,0,0,1,0,Male,Prefer not to answer,Some college,,,African American,,,,,Prefer not to answer,Prefer not to answer,Prefer not to answer,30296,1,0,0,0
5,4,Sports,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",,0,0,0,0
1,0,Multiplayer online battle arena (MOBA),2,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,"$50k-$74,999",30363,0,1,0,0
0,,Other,3,2,0,0,0,0,1,0,Female,Under 25,Technical degree,White,,,,,,,No,No,"$25k-$49,999",30019,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,1,First-person shooters,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,,,,Asian,,,,Yes,No,"$150k-$249,999",30114,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30319,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
2,0,Racing,3,0,0,0,0,0,0,0,Female,25-34,Some college,,,African American,,,,,Prefer not to answer,Yes,"$50k-$74,999",30039,1,0,0,0
0,,Other,4,0,0,0,0,0,0,0,Female,45-54,Technical degree,,,African American,,,,,No,No,"$25k-$49,999",30328,1,0,0,0
1,1,Fighting,2,2,1,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,Yes,Yes,"$75k-$99,999",30331,1,0,0,0
5,2,Sports,5,4,1,0,0,0,1,0,Male,25-34,Bachelors degree,,,African American,,,,,No,Yes,"$25k-$49,999",30083,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,1,Fighting,4,2,0,0,0,0,1,0,Female,25-34,Some college,,,African American,,,,,No,Yes,"$25k-$49,999",30315,0,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,Yes,Yes,Prefer not to answer,30269,0,0,0,0
0,,,5,0,0,0,0,0,0,0,Male,55-64,High school diploma,White,,,,,,,Yes,Yes,"$100k-$149,999",30265,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,3,1,0,0,0,0,1,0,Female,35-44,Technical degree,,,,,,Other,,No,Yes,Less than $25k,30041,1,0,0,0
1,0,Sports,,,0,0,0,0,1,0,Female,55-64,Advanced or professional degree,White,,,,,,,Yes,No,"$75k-$99,999",38583,0,0,0,1
0,,Sports,,0,0,0,0,0,0,0,Female,35-44,Some college,White,,,,,,,No,Yes,"$25k-$49,999",30101,0,0,1,0
2,1,Sports,5,4,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,0,1
1,0,Sports,4,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
6,1,Sports,4,2,1,1,0,1,0,0,Male,25-34,Some college,,,African American,,,,,Yes,No,"$75k-$99,999",30346,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30052,1,0,0,0
1,1,Sports,1,1,1,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$100k-$149,999",30058,1,0,0,0
4,3,Sports,5,2,0,0,0,0,1,0,Male,25-34,Some college,,,African American,,,,,No,No,"$25k-$49,999",30294,1,0,0,0
4,1,Sports,4,4,1,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,,Asian,,,,Yes,Yes,Prefer not to answer,30022,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,5,4,0,0,0,0,1,0,Male,45-54,Technical degree,White,,,,,,,No,No,"$75k-$99,999",30080,0,1,0,0
3,2,Role playing game,2,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$100k-$149,999",30339,0,0,1,0
0,,,3,0,0,0,0,0,0,0,Female,65+,Some college,White,,,,,,,No,No,"$75k-$99,999",30327,0,0,1,0
0,,Racing,3,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,No,No,Prefer not to answer,29108,1,0,0,0
3,1,First-person shooters,4,1,0,0,0,0,0,1,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",30318,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
5,2,Sports,5,5,0,0,0,0,1,0,,,,,,,,,,,,,,,1,0,0,0
1,0,Sports,3,2,0,0,0,0,1,0,Male,35-44,Bachelors degree,,,African American,,,,,No,Yes,"$75k-$99,999",30666,0,0,0,0
0,,,2,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30354,1,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,,,African American,,,,,No,No,Prefer not to answer,30032,1,0,0,0
5,2,Racing,5,5,0,0,0,0,1,0,Male,55-64,Some college,,,African American,,,,,No,Yes,"$25k-$49,999",30349,1,0,0,0
2,0,Sports,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30054,0,1,0,0
4,1,Sports,5,5,0,0,0,0,1,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30017,0,0,1,0
0,,Sports,4,4,0,0,0,0,1,0,Female,35-44,High school diploma,White,,,,,,,No,Yes,"$100k-$149,999",,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,Prefer not to answer,37919,0,0,0,1
0,,Sports,2,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,No,"$50k-$74,999",30318,0,0,1,0
2,1,First-person shooters,3,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$50k-$74,999",30342,0,1,0,0
0,,Other,5,4,0,0,0,1,1,0,Female,45-54,Bachelors degree,,Hispanic,,,,,,No,No,"$50k-$74,999",30045,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
0,,Sports,5,1,1,0,0,0,1,0,Male,35-44,High school diploma,,,African American,,,,,No,No,"$50k-$74,999",30354,1,0,0,0
1,0,Sports,5,5,0,0,0,0,1,0,Male,35-44,Some college,,,African American,,,,,Prefer not to answer,Yes,Prefer not to answer,35405,1,0,0,0
4,1,Sports,4,1,1,0,0,0,0,0,Male,35-44,High school diploma,,,African American,,,,,No,Yes,Prefer not to answer,30297,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,,,African American,,,,,Yes,No,"$100k-$149,999",30038,1,0,0,0
1,0,Other,1,0,0,0,0,0,0,0,Female,55-64,Some college,,,African American,,,,,No,No,"$100k-$149,999",30238,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
4,1,Other,3,1,1,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$75k-$99,999",31029,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30066,0,1,0,0
2,1,Role playing game,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,,,Asian,,,,No,No,"$100k-$149,999",98122,0,0,1,0
3,1,Sports,5,5,0,0,0,0,1,0,Male,25-34,Technical degree,,Hispanic,,,,,,No,No,"$25k-$49,999",30046,0,0,1,0
0,,,,0,0,0,0,0,0,0,Male,45-54,Some college,,,African American,,,,,Yes,No,"$75k-$99,999",30080,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,High school diploma,White,,,,,,,No,No,"$75k-$99,999",30814,0,1,0,0
3,0,Sports,3,2,0,0,0,0,1,0,Male,25-34,Some college,White,,,,,,,No,Yes,"$50k-$74,999",30080,0,0,0,1
0,,,5,4,0,0,0,0,1,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30809,1,0,0,0
1,0,Racing,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,,,African American,,,,,No,No,"$75k-$99,999",30319,1,0,0,0
1,0,Racing,5,4,0,0,0,1,1,0,Male,45-54,Advanced or professional degree,White,,,,,,,Prefer not to answer,Yes,"$100k-$149,999",30041,1,0,0,0
4,2,First-person shooters,1,0,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,No,No,Less than $25k,30316,0,0,1,0
1,2,Sports,4,0,0,0,0,0,0,0,Male,35-44,Some college,,,African American,,,,,Yes,Yes,"$50k-$74,999",,0,0,1,0
0,,Sports,4,4,0,0,0,1,1,0,Female,55-64,Some college,White,,,,,,,No,No,"$25k-$49,999",30281,1,0,0,0
0,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
2,1,Sports,2,2,0,0,0,0,1,0,Male,35-44,Bachelors degree,,,African American,,,,,Yes,Yes,Prefer not to answer,30236,1,0,0,0
0,,Other,1,3,0,0,0,0,1,0,Male,55-64,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30331,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
5,5,Sports,5,4,1,1,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30062,0,0,0,0
,,,,,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,,,,Asian,,,,No,No,"$50k-$74,999",30329,0,0,1,0
5,2,First-person shooters,4,3,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,1,0
1,0,Sports,4,5,0,0,0,0,1,0,Male,25-34,Some college,,,African American,,,,,No,Yes,"$100k-$149,999",30106,1,0,0,0
,,,,2,0,0,0,0,1,0,Female,55-64,Some college,,,African American,,,,,No,No,Prefer not to answer,30311,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30413,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,5,3,0,0,0,1,0,0,,,,,,,,,,,,,,,1,0,0,0
2,1,Sports,4,2,1,0,0,0,0,0,Male,25-34,High school diploma,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,"$75k-$99,999",30253,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
3,0,Sports,5,0,0,0,0,0,0,0,Male,35-44,Some college,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,"$100k-$149,999",30017,1,0,0,0
3,1,Multiplayer online battle arena (MOBA),4,2,0,0,0,0,1,0,Male,35-44,Some college,,,African American,,,,,No,Yes,"$50k-$74,999",30296,1,0,0,0
0,,Other,3,0,0,0,0,0,0,0,Female,55-64,Technical degree,,,African American,,,,,No,No,Less than $25k,30021,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,0,Racing,4,2,1,0,0,0,1,0,Female,25-34,Advanced or professional degree,,,African American,,,,,No,No,"$25k-$49,999",30344,1,0,0,0
4,4,Real-time strategy,3,4,1,0,0,1,1,0,Female,35-44,Bachelors degree,,,,,,Other,,Yes,Yes,"$75k-$99,999",30277,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,,,African American,,,,,Yes,Yes,$250k or more,30097,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30519,0,0,0,0
2,1,Sports,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,Prefer not to answer,30116,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,Prefer not to answer,30066,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30088,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,1,First-person shooters,1,0,0,0,0,0,0,0,Male,Under 25,Bachelors degree,White,,,,,,,No,No,Prefer not to answer,30318,0,1,0,0
0,,,1,3,1,0,0,0,1,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,Yes,Prefer not to answer,30043,1,0,0,0
